Song-Name,Singer/Artists,Genre
Tum Aa Gaye Ho Noor Aa Gaya Hai,"Kishore Kumar, Lata Mangeshkar",Romantic
Mujeh Naulakha Mangade,"Bappi Lahiri, Kishore Kumar",Dance
Ainvayi Ainvayi,"Salim Merchant, Sunidhi Chauhan",Dance
Awaaz Deke,"Lata Mangeshkar, Mohammed Rafi",Romantic
Tum Tak,"A.R. Rahman, A.V. Pooja, Javed Ali, Kirti Sagathia",DanceRomantic
Chitta Ve,"Babu Haabi, Bhanu Pratap, Shahid Mallya",Dance
Get Up Jawani,"Badshah, Yo Yo Honey Singh",Dance
Ji Huzoori,"Deepali, Mithoon",Romantic
Dhingana,Mikha Singh,Dance
Sapna,Arijit Singh,Sad
Bandeyaa,Jubin Nautiyal,Sad
Maula Mere Lele Meri Jaan,"Krishna Beura, Salim Merchant",DevotionalSad
Rang De Basanti,"Daler Mehndi, K. S. Chithra",DancePatriotic
Kundali,"Anita Gandharva, Meenal Jain, Meghna Mishra, Rani Kaur, Vaishnavi Mishra, Yashika Sikka, Yashita Sharma",Dance
Shuru Kar,"Amit Mishra, Neha Bhasin, Rochak Kohli",Dance
Je T’aime,"Sunidhi Chauhan, Vishal Dadlani",
Tooh,"Mamta Sharma, Mika Singh, Shekhar, Vishal",Dance
Main Tera Dhadkan Teri,"Hard Kaur, K.K., Sunidhi Chauhan",Dance
Le Gayi,Asha Bhosle,Dance
Le Gayi,Asha Bhosle,Dance
Aankhein Khuli,"Ishaan, Lata Mangeshkar, Manohar Shetty, Shweta Pandit, Sonali Bhatawdekar, Udbhav, Udit Narayan",Dance
Rang Barse,Amitabh Bachchan,Dance
Gawah Hai Chand Tare,"Alka Yagnik, Kumar Sanu",Romantic
Aisa Kyun Maa,Sunidhi Chauhan,Sad
Tu Hi Re,Hariharan,Romantic
Mera Mann Kehne Laga,Falak Shabir,Dance
Shut Up & Bounce,"Sunidhi Chauhan, Vishal Dadlani",Romantic
One Two Three Four,"Hamsika Iyer, Vishal Dadlani",Dance
Haseeno Ko Aate Hain,"Alka Yagnik, Udit Narayan",Dance
Kasam Khake Kaho,"Alka Yagnik, Kumar Sanu",Romantic
Dil Ka Rishta,"Alka Yagnik, Kumar Sanu, Udit Narayan",Romantic
Sajdaa,"Rahat Fateh Ali Khan, Richa Sharma, Shankar Mahadevan",Romantic
Mujhe Tumse Mohabbat Hai,"Shaan, Shreya Ghoshal",DanceRomantic
Tujhe Dekha To,"Kumar Sanu, Lata Mangeshkar",Romantic
Watan Wallon Watan Na,"Alka Yagnik, Shaan",Patriotic
Zara Si Dosti,Arijit Singh,
Pani Da Rang,Ayushman Khurana,Romance
De De Jagah,Yasser Desai,
Tum Itna Jo Muskura Rahe Ho,Jagjit Singh,Romantic
Ham The Jinke Sahare,Lata Mangeshkar,Sad
Titli,"Chinmayi Sripaada, Gopi Sunder",Romantic
Laung Da Lashkara,"Hard Kaur, Mahalakshmi Iyer",Dance
Maa Ka Phone,Priya Panchal,Dance
Zindagi Ka Safar,Kishore Kumar,Sad
O Saathiya,"Arko, Armaan Malik, Prakriti Kakkar",Romantic
Kasam Ki Kasam,"K. S. Chithra, Shaan",RomanticSad
Gun Gun Guna,"Sunidhi Chauhan, Udit Narayan",Dance
Jeeta Hoon Jiske Liye,"Alka Yagnik, Kumar Sanu",Romantic
Aye Khuda (Duet),"Rahat Fateh Ali Khan, Shreya Ghoshal",Sad
Dreamum Wakeupum,Soumya Rai,Dance
Balma Tum Balma Ho Mere Khali,Kavita Krishnamurthy,Dance
Ishq Bina,"A.R. Rahman, Anuradha Sriram, Sonu Nigam, Sujatha Mohan",Romantic
Ab Tere Bin,Kumar Sanu,Sad
Ankhiyaan,Kanika Kapoor,Sad
Teri Yaad,Ghulam Ali,Sad
Jalwa,"Earl, Wajid",Dance
Judaai,Falak Shabir,Sad
Aayat,"Altamash Faridi, Arijit Singh, Farhan Sabri, Mujtaba Aziz Naza, Shadab",Sad
Dil Dooba,"Shreya Ghoshal, Sonu Nigam",Dance
Pyaar Deewana Hota Hai,Kishore Kumar,Romantic
Nazrein Mili Dil Dhadka,"Alka Yagnik, Udit Narayan",Dance
Po Po,"Aaman Trikha, Himesh Reshammiya, Vikas Bhalla",Dance
Son Of Sardaar,"Aaman Trikha, Himesh Reshammiya",Dance
Roobaroo,"A.R. Rahman, Naresh Iyer",Dance
Khush Rahe Tu Sada,Mohammed Rafi,Sad
Chaar Kadam,"Shaan, Shreya Ghoshal",Romantic
Are Re Are,"Lata Mangeshkar, Udit Narayan",Dance
Shiddat,Armaan Malik,Sad
Dil Kehta Hai,"Alka Yagnik, Kumar Sanu",Sad
Dilnashin Dilnashin,K.K.,Dance
Sawaar Loon,Monali Thakur,Dance
Zehnaseeb,"Chinmayi Sripaada, Shekhar Ravjiani",Dance
"Joote Do, Paise Lo","Lata Mangeshkar, S.P. Balasubrahmanyam",Dance
Dekha Ek Khwab,"Kishore Kumar, Lata Mangeshkar",Romantic
Maa,Shankar Mahadevan,Sad
Jogi Mahi,"Himani Kapoor, Shekhar Ravjiani, Sukhwinder Singh",Dance
Mat Ja Re,Ankit Tiwari,Dance
Ooh La La,"Bappi Lahiri, Shreya Ghoshal",Dance
Bhangda Pa,"Asees Kaur, Divya Kumar, Vishal Dadlani",Dance
Jhoka Hawa Ka Aaj Bhi,"Hariharan, Kavita Krishnamurthy",Sad
Dhol Baaje,"Anjjan, Meet Bros, Monali Thakur",Dance
Aaj Hai Sagaai,"Abhijeet, Alka Yagnik",Dance
Galat Baat Hai,"Javed Ali, Neeti Mohan",DanceRomantic
Yeh Ladka Hai Deewana,"Alka Yagnik, Udit Narayan",Dance
Des Rangila,Mahalaxmi Iyer,DancePatriotic
Roshni Se,"Abhijeet, Alka Yagnik",Romantic
I Love You,"Ash King, Clinton Cerejo",Romantic
Ishq Wala Love,"Neeti Mohan, Salim Merchant",
O Janiya,Neha Kakkar,Dance
Musafir,K.K.,
Mehndi Laga Ke Rakhna,"Lata Mangeshkar, Udit Narayan",Dance
Gori Gori,"Anu Malik, K.K., Shreya Ghoshal, Sunidhi Chauhan",Dance
Gori Gori Gori Gori,"Anu Malik, Shreya Ghosal, Sunidhi Chauhan",Romantic
Bakhuda Tumhi Ho,"Alka Yagnik, Atif Aslam",Romantic
Ishq Hai Ishq Hai,Jayshree Shivram,Sad
Mere Nishaan,"Anjjan, Kailash Kher, Meet Bros",
Prem Mein Tohre,Asha Bhosle,Romantic
Halo Re,Aaman Trikha,Dance
Jogiya,"Anuradha Paudwal, Sukhwinder Singh",Sad
Aila Re Aila,Daler Mehndi,Dance
Hum Saath-Saath Hain,"Alka Yagnik, Anuradha Paudwal, Hariharan, Kavita Krishnamurthy, Kumar Sanu, Udit Narayan",Dance
Enu Naam Che Raees,Tarannum Mallik,Dance
Woh Pehli Baar,Shaan,Romantic
Piya Aaye Na,"K.K., Tulsi Kumar",Sad
Aaj Hai Sagai,"Abhijeet, Alka Yagnik",Dance
Rajj Rajj Ke,"Sonakshi Sinha, Vishal Dadlani",Motivational
Daawat e Ishq,"Javed Ali, Sunidhi Chauhan",Dance
Tera Mera Pyar Amar,Lata Mangeshkar,Romantic
Chookar Mere Man Ko,Kishore Kumar,Romantic
Chookar Mere Man Ko,Kishore Kumar,Romantic
Love Is A Waste Of Time,"Shreya Ghoshal, Sonu Nigam",Dance
Zindagi To Bewafa Hai,Mohammed Rafi,Sad
Jo Tumko Ho Pasand Wohi Baat Karenge,Mukesh,Romantic
Bebo,Alisha Chinai,Dance
Tum Bin,K. S. Chithra,Romantic
Chot Lage Tujhko – Sad,"Alka Yagnik, Udit Narayan",Sad
Tujhe Sochta Hoon,K.K.,RomanticSensual
Apni To Jaise Taise,Kishore Kumar,Dance
Mast Kalandar,"Master Saleem, Rehan Khan, Sajid Khan",Dance
Dhoom 3 Mashup,,Dance
It’s Magic,Taz,Dance
It’s Magic,Taz,Dance
Nikamma,Rahat Fateh Ali Khan,
Nikamma,Rahat Fateh Ali Khan,
Jigar Da Tukda,"Salim Merchant, Shraddha Pandit",Dance
It’s the Time to Disco,"K.K., Loy Mendonsa, Shaan, Vasundhara Das",Dance
Maar Daala,Kavita Krishnamurthy,Dance
Tumhe Apna Banane Ka,"Armaan Malik, Neeti Mohan",Romantic
Ho Gaya Hai Tujhko To Pyar Sajna,"Lata Mangeshkar, Udit Narayan",Romantic
Suno Aisha,"Amit Trivedi, Ash King, Nakash Aziz",Dance
Jee Ve Sohaneya,Nooran Sisters,Sad
Hai Junoon,K.K.,Dance
Kuch To Hai,Armaan Malik,Sad
Ban Dance Mein Kutta,"Divya Kumar, Shivi, Uvie",Dance
Bakheda,"Sukhwinder Singh, Sunidhi Chauhan",
Bhooli Bisri Ek Kahani,Anuradha Paudwal,Sad
Milan Abhi Aadha Adhura,"Shreya Ghoshal, Udit Narayan",Romantic
Ishqyaun Dhishyaun,Aditya Narayan,Romantic
Saat Ajube Iss Duniya Mein,"Mohammed Rafi, Mukesh",
Maahi Ve,"Richa Sharma, Sukhwinder Singh",DanceSad
Rangdaari,"Arko, Navraj Hans",Sad
Rangdaari,"Arko, Navraj Hans",Sad
Ye Tune Kya Kiya,Javed Bashir,Romantic
Chak De India,"Marianne D'Cruz, Salim Merchant, Sukhwinder Singh",DanceMotivationalPatriotic
Saanwali Si Ek Ladki,Udit Narayan,Romantic
Dil Se Nikal Kar Dil Ko Gayee Hain,"Anuradha Paudwal, Suresh Wadkar",Dance
Dhak Dhak Karne Laga,"Anuradha Paudwal, Udit Narayan",Romantic
Kabhi Jo Badal Barse,Arijit Singh,Romantic
Bhar Do Jholi Meri,Adnan Sami,Devotional
Give Me Some Sunshine,"Sharman Joshi, Suraj Jagan",Sad
Dil Leke,"Shaan, Shreya Ghoshal",DanceRomantic
Yeh Mera Diwanapan Hai,Mukesh,Sad
O Jaana,"Alka Yagnik, K.K., Kamaal khan, Udit Narayan",DanceRomantic
Love Mashup 2016 (Kiran Kamath),Multiple,Romantic
Bhoot Aaya,Mika Singh,
Abhagi Piya Ki,"Ahmed Hussain, Kanika Kapoor, Mohammed. Hussain, Raja Hasan",Sad
Rang Laal,"Aditi Singh Sharma, Dev Negi, John Abraham",Dance
Bas Tu Hai,"Arijit Singh, Jonita Gandhi",RomanticSad
Tanhaiyaan,Amit Mishra,Sad
Jaane Kyun,Vishal Dadlani,Dance
Dagabaaz Re,"Rahat Fateh Ali Khan, Shreya Ghoshal",Romantic
Jane Kyun,"Alka Yagnik, Udit Narayan",Romantic
Khuli Falak Mein,Mohammed Rafi,Romantic
Sajna Mein Teri Tu Mera,"Anuradha Paudwal, Vipin Sachdeva",Romantic
Zindagi Do Pal Ki,K.K.,Romantic
Tauba Yeh Matwali Chaal,Mukesh,Dance
Main Hoon Hero Tera,Armaan Malik,Romantic
Daata Tu,Shreya Ghoshal,Motivational
Ye Dosti Hum Nahi Todenge,"Kishore Kumar, Manna Dey",
Saathiya Nahi Jaana,"Lata Mangeshkar, Mohammed Rafi",RomanticSad
Ishq Hua,"Shreya Ghoshal, Sonu Nigam",Romantic
Bloody Hell,Sunidhi Chauhan,Dance
Dil Se Re,"A.R. Rahman, Anupama Deshpande, Anuradha Sriram",Romantic
Phatte Tak Nachna,Sunidhi Chauhan,Dance
Meer-E-Kaarwan,"Amit Mishra, Neeti Mohan",Sad
Ratta Maar,"Shefali Alvares, Vishal Dadlani",
Raat Ka Nasha,K. S. Chithra,Dance
Maa Da Laadla,Master Saleem,Dance
O Re Piya,Rahat Fateh Ali Khan,Sad
Jhanjariya Meri Chanak,Alka Yagnik,Dance
Pareshaan,Shalmali Kholgade,Romantic
Paisa Paisa,"Manak-E, RDB, Selina",Dance
Mere Haath Mein,"Sonu Nigam, Sunidhi Chauhan",Romantic
Do Lafzon Ki Hai Dil Ki Kahani,"Amitabh Bachchan, Asha Bhosle, Sharad Kumar",Dance
Ishq Sufiyana (Male),Kamal Khan,Romantic
Hum Hain Insaaf,"Babu Haabi, Naezy",
Meri Maa,K.K.,Sad
Zindagi Tujhse Kya Karen Shikvey,Amit Mishra,Sad
Dance Pe Chance,"Labh Janjua, Sunidhi Chauhan",Dance
Tu Hi Hai,Armaan Malik,Romantic
Gehra Ishq,Shekhar Ravjiani,Romantic
Love Me Love Me,"Amrita Kak, Wajid",Dance
Saajna,Falak Shabir,Romantic
Tere Ho Ke Rahenge,Arijit Singh,Romantic
Sai Baba Bolo (Album Version),"Anup Jalota, Anuradha Paudwal, Jani Baboo, Mohammed Rafi",Devotional
Khudaya Ve Ishq Hai Kaisa,Salim Merchant,Sad
Pardesi Pardesi,"Bela, Suresh Wadkar",Sad
Gulabi,"Jigar Saraiya, Priya Saraiya",Dance
Dus Bahane,"K.K., Shaan",Dance
Main Agar Kahoon,"Shreya Ghoshal, Sonu Nigam",Romantic
Main Aisa Kyun Hoon,Shaan,Dance
Main Aisa Kyon Hoon,Shaan,Dance
Mein Chali Mein Chali,"Lata Mangeshkar, Mohammed Rafi",Romantic
Sharabi,"Nindy Kaur, Shekhar Ravjiani, Vishal Dadlani",Dance
Labon Ka Karobaar,Papon,Romantic
Main Kya Karoon,Nikhil Paul George,Dance
Sawan Ka Mahina,"Lata Mangeshkar, Mukesh",Romantic
Taang Uthake,"Mamta Sharma, Mika Singh, Neeti Mohan, Sohail Sen",Dance
Hamari Shaadi Mein,"Babul Supriyo, Shreya Ghoshal",Dance
Ishq Risk,Rahat Fateh Ali Khan,Romantic
Dil Vich Lagya,"Akriti Kakar, Kunal Ganjawala, Sonu Nigam",Dance
Khalbali,"A.R. Rahman, Mohammed Aslam, Nacim",Dance
Safarnama,Lucky Ali,Dance
My Dil Goes Mmmm,"Gayatri Iyer, Shaan",Romantic
Tu Hi Meri Shab Hai,K.K.,Romantic
Koi Ladki Hai,"Lata Mangeshkar, Udit Narayan",Dance
Bheege Hont Tere,Kunal Ganjawala,RomanticSensual
Mere Samne Wali Khidki Mein,Kishore Kumar,DanceRomantic
Is Mod Se Jaate Hain,"Kishore Kumar, Lata Mangeshkar",Romantic
Chamak Challo Chel Chabeli,"Kumar Sanu, Shreya Ghoshal",
Chandni O Meri Chandni,YRF,Dance
Mere Khwabon Mein,Lata Mangeshkar,Romantic
Rock N Roll Soniye,"Mahalakshmi Iyer, Shaan, Shankar Ehsaan Loy, Shankar Mahadevan",Dance
Keeda,"Himesh Reshammiya, Neeti Mohan",Dance
Abhi Kuch Dino Se,Mohit Chauhan,Dance
Dheere Dheere (Remix),Yo Yo Honey Singh,Dance
Dil Ne Ye Kaha Hai Dil Se,"Alka Yagnik, Sonu Nigam",RomanticSad
Mohabbat Hai Kya Cheez,"Lata Mangeshkar, Suresh Wadkar",Romantic
Soldier Soldier Meethi Baaten,"Alka Yagnik, Kumar Sanu",Dance
Tum Bin,Shreya Ghoshal,Sad
Tum Ho Mera Pyar,"K.K., Suzanne D'Mello",Romantic
Dard Dilo Ke  (Reprise),Mohammed Irfan,Dance
Shirdi Wale Sai Baba,Mohammed Rafi,Devotional
Na Jane Kahan Se,"Amit Kumar, Kavita Krishnamurthy",Dance
Bol Beliya,"Siddharth Mahadevan, Sunidhi Chauhan",Dance
Jee Karda,"Labh Janjua, Suzanne D'Mello",Dance
Tum Bin,Ankit Tiwari,Sad
Aadat,"Jubin Nautiyal, Raftaar, Shirley Setia",Romantic
Tere Liye,Ankit Tiwari,Romantic
Mera Rang De Basanti,"Manmohan Waris, Sonu Nigam",Patriotic
Hum Tumhare Hain Sanam,"Anuradha Paudwal, Udit Narayan",Romantic
Nain Phisal Gaye,Payal Dev,Romantic
Boond Boond,Ankit Tiwari,Sad
Bipasha,"Shadab Faridi, Shraddha Pandit",Dance
Dhoom Tana,"Abhijeet, Shreya Ghoshal",Dance
Tu Hi Mera,Shafqat Amanat Ali,Romantic
A B C D E F G H,"Hariharan, Shankar Mahadevan, Udit Narayan",Dance
Moh Moh Ke Dhaage,"Monali Thakur, Papon",Sad
ABCD Yaariyan,"Benny Dayal, Shefali Alvares",Dance
Hona Tha Pyar,"Atif Aslam, Hadiqa Kiani",Romantic
ABCD,"Benny Dayal, Shefali Alvares, Yo Yo Honey Singh",Dance
Kaise Mujhe,Benny Dayal,Romantic
Whats Up,"Jasleen Royal, Mika Singh",Dance
Dhaakad,Raftaar,
Masakali,Mohit Chauhan,Dance
Tumhe Jo maine Dekha,Abhijeet,Dance
Gal Ban Gayi (Remix),"Meet Bros, Neha Kakkar, Sukhbir, Yo Yo Honey Singh",Dance
Koyal Si Teri Boli,"Anuradha Paudwal, Udit Narayan",Dance
Tu Hi Na Jaane,"Prakriti Kakkar, Sonu Nigam",
Hum Lakh Chupaye,"Asha Bhosle, Kumar Sanu",Romantic
Ek Villain,Multiple,Dance
Tujhe Dekhti Hai Nazar,Mohd. Irfan,Romantic
Beedi,"Clinton Cerejo, Nachiketa, Sukhwinder Singh, Sunidhi Chauhan",Dance
Chori Chori Dil Le Gaya,"Hema Sardesai, Sukhwinder Singh",Dance
Raasleela,Sumedha Karmahe,Dance
Dum Maaro Dum,Anushka Manchanda,Dance
Kudiyan Sehar Diyan,"Alka Yagnik, Daler Mehndi",Dance
Dhunki,Neha Bhasin,Dance
Tera Deedar Hua,Rahat Fateh Ali Khan,Romantic
Salaam India,"Salim Merchant, Vishal Dadlani",MotivationalPatriotic
Hum Ko Maaloom Hain,"Sadhana Sargam, Sonu Nigam",Romantic
Bodyguard,"Band of Power, Salman Khan",Dance
Pyaara Bhaiya Mera,"Alka Yagnik, Kumar Sanu",Dance
Chahoon Bhi,"Bombay Jayashri, Karthik",Romantic
Babul Pyare,Lata Mangeshkar,Dance
Bade Miyan Chote Miyan,"Sudesh Bhosle, Udit Narayan",Dance
Albela Sajan,"Kanika Joshi, Kunal Pandit, Prithvi Gandharva, Rashi Raagga, Shashi Suman",Dance
Nahin Saamne Tu,"Hariharan, Sukhwinder Singh",Romantic
Goron Ki Na Kalon Ki,"Suresh Wadkar, Usha Mangeshkar",Dance
Gum Hai Kisi Ke Pyar Mein,"Kishore Kumar, Lata Mangeshkar",Romantic
Tu Mere Agal Bagal Hai,Mika,Dance
Aashiyan,"Nikhil Paul George, Shreya Ghoshal",Dance
Pyar Ka Anjaam,"Alka Yagnik, Kumar Sanu, Sapna Mukherjee",Romantic
Ay Hairathe,"A.R. Rahman, Alka Yagnik, Hariharan, Mohammed Aslam",Romantic
Phir Kya Hai Gham,Shilpa Rao,
Hip Hop Pammi,"Mika Singh, Monali Thakur",Dance
Jab Se Mere Naina,Shaan,DanceRomantic
Race Saanson Ki,"Neeraj, Sunidhi Chauhan",Dance
Tu Chale Toh,Papon,Romantic
Chori Chori Chupke Chupke,"Shreya Ghosal, Udit Narayan",DanceRomantic
Pairon Mein Bandhan Hai,"Manohar Shetty, Preetha Mazumdar, Sonali Bhatawdekar, Udbhav",Dance
Tum Par Hum Hai Atke Yaara,"Kavita Krishnamurthy, Kumar Sanu",Dance
So Gaya Yeh Jahan,"Alka Yagnik, Nitin Mukesh, Shabbir Kumar",Dance
Wo Ladki Jo Sabse,Abhijeet,Dance
Sara Zamana,Kishore Kumar,Dance
Aur Is Dil Mein,"Asha Bhosle, Suresh Wadkar",Sad
Mujhse Shaadi Karogi,"Sonu Nigam, Sunidhi Chauhan, Udit Narayan",Dance
Challa,"Babbu Maan, Suzanne D'Mello",Dance
Tu Hi Toh Meri Dost Hai,"A.R. Rahman, Benny Dayal, Shreya Ghoshal",Dance
Maa Sheranwali,Shabbir Kumar,Devotional
Kuch Din,Jubin Nautiyal,Romantic
Tu Na Ja Mere Badshah,"Alka Yagnik, Mohammad Aziz",Sad
Rani Tu Mein Raja (,"Bhavya Pandit, Mika Singh, Yo Yo Honey Singh",Dance
Rani Tu Mein Raja (,"Bhavya Pandit, Mika Singh, Yo Yo Honey Singh",Dance
Bholi Si Surat,"Lata Mangeshkar, Udit Narayan",Romantic
Tere Naina,"Shaan, Shreya Ghoshal",Romantic
O Rangrez,Divya Kumar,Romantic
Jise Dekh Mera Dil Dhadke,Kumar Sanu,Romantic
Tumko To Aana Hi Tha,"Armaan Malik, Marianne D'Cruz",Romantic
Khwaab Ho Tum Ya Koi,Kishore Kumar,Romantic
Chor Bazari,Neeraj Shridhar,Dance
Jaati Hoon Main,"Alka Yagnik, Kumar Sanu, Udit Narayan",
Saanson Ne,"Sonu Nigam, Tulsi Kumar",Romantic
Mr. Lova Lova,"Abhijeet, Kavita Krishnamurthy, Sudesh Bhosle, Udit Narayan, Vibha Sharma",Dance
Ladka Yeh Kehta Hai,K.K.,Dance
Tum Dil Ki Dhadkan Mein,"Abhijeet, Alka Yagnik, Kumar Sanu",Romantic
Halla Re,"Salim Merchant, Shweta Pandit",Dance
Tu Bhoola Jise,K.K.,Patriotic
Teri Yaad,"Badshah, Himesh Reshammiya",Sad
Tum Saanson Mein,"Himesh Reshammiya, Tulsi Kumar",Romantic
Yeh Jo Des Hai Tera,A.R. Rahman,Patriotic
Jab Tak Hai Jaan,Shakthi Sree Gopalan,Romantic
Teri Yaad Aati Hai,"Lata Mangeshkar, Suresh Wadkar",Sad
Jee Le Zaraa,Vishal Dadlani,Romantic
Bekarar Karke Hume,Hemant Kumar,Romantic
Tumhari Nazar Kyon Khafa Ho Gayi,"Lata Mangeshkar, Mohammed Rafi",
Chichora Piya,"Himesh Reshammiya, Shalmali Kholgade",Dance
Soniye Ve – Dhak Dhak Dhak,"Sonu Nigam, Sunidhi Chauhan",Dance
Tere Bin,Atif Aslam,Sad
Phir Mohabbat,"Arijit Singh, Mohammed Irfan, Saim Bhat",RomanticSad
O Heeriye,Ayushman Khurana,Romance
O Heeriye,Ayushman Khurana,Sad
Hummein Tummein Jo Tha,"Palak Muchhal, Papon",Sad
Dil Chura Le,"Alka Yagnik, Kumar Sanu",Romantic
Kaun Hai Jo Sapnon Mein Aaya,Mohammed Rafi,Romantic
Mar Jaawan Mit Jaawan,"Abhijeet Sawant, Sunidhi Chauhan",Dance
Mar Jaawan Mit Jaawan,"Abhijeet Sawant, Sunidhi Chauhan",Dance
Jhuki Jhuki Si Nazar,Jagjit Singh,Sad
Zor Ka Jhatka,"Daler Mehndi, Master Saleem, Richa Sharma",Dance
I Am A Disco Dancer,Bappi Lahiri,Dance
Sufi Salam,Rahat Fateh Ali Khan,Romantic
Ishq Samundar,"Himesh Reshammiya, Kanika Kapoor",Dance
Na Na Karte Pyar,Alka Yagnik,DanceRomantic
Tu Rootha Dil Toota,Kishore Kumar,Sad
Katra Katra,"Ankit Tiwari, Prakriti Kakar",Romantic
Yaara O Yaara,"Lata Mangeshkar, Suresh Wadkar",Sad
Let’s Celebrate,Imran Khan,Dance
Alfazon Ki Tarah (Unplugged),"Ankit Tiwari, John Abraham, Shreya Ghoshal",Sad
Jaane Dil Mein,"Lata Mangeshkar, Sonu Nigam",Romantic
Trippy,"Himesh Reshammiya, Neha Kakkar",Dance
Dil Jaane Na,"Mohit Chauhan, Neeti Mohan",Romantic
Da Da Dasse,"Babu Haabi, Kanika Kapoor",Dance
O Re Kaharo,"Altamash Faridi, Kalpana Patowary",Sad
Ramaiya Vatsavaiya,"Lata Mangeshkar, Mohammed Rafi, Mukesh",Dance
Fashion Khatam Mujhpe,"Mamta Sharma, Shabab Sabri, Wajid",Dance
Kya Dekhte Ho Surat Tumhari,"Asha Bhosle, Mohammed Rafi",Romantic
Kudiye Di Kurti,"Neuman Pinto, Shazneen Arethna, Shreya Ghoshal, Sonu Nigam",Dance
Beat Juunglee,"Armaan Malik, Prakriti Kakkar",Dance
Ya Rabba,Kailash Kher,Sad
Khwab Dekhe Sexy Lady,"Monali Thakur, Neeraj Shridhar",Dance
Ishqa,"Abhijeet Sawant, Antara Mitra",
Aahun Aahun,"Ashish Pandit, Jaspreet Singh, Master Saleem, Suzanne D'Mello",Dance
Aahun Aahun,"Ashish Pandit, Master Saleem, Suzanne D'Mello",Dance
Dil Dance Maare,"Sukhwinder Singh, Sunidhi Chauhan, Udit Narayan",Dance
Kitni Baatein,"Hariharan, Sadhana Sargam, Shankar Ehsaan Loy",Sad
Kitni Baatein,"Hariharan, Sadhana Sargam",Sad
Char Baj Gaye (Party Abhi Baaki Hai),Hard Kaur,Dance
Aa Gaya Aa Gaya,Udit Narayan,Dance
Chand Sitare,Kumar Sanu,Romantic
Bhanware Ne Khilaya Phool,"Lata Mangeshkar, Suresh Wadkar",Dance
O Piya O Piya,"Sadhana Sargam, Sukhwinder Singh",Romantic
Dekha Tujhe Toh,"Alka Yagnik, Kumar Sanu",Romantic
Engine Ki Seeti,"Resmi Sateesh, Sunidhi Chauhan",Dance
Yeh Jawaani Hai Deewani (Mashup),"Arijit Singh, Mohit Chauhan",Dance
Main Heroine Hoon,Aditi Singh Sharma,Dance
Punjabi Mast,"Alamgir Khan, Ankit Tiwari, Arya Acharya, Himesh Reshammiya, Vineet Singh",Dance
Mere Hathon Mein Nau Nau,Lata Mangeshkar,Dance
Heer,"Arijit Singh, Harshdeep Kaur",Dance
Mere Bina,Nikhil Dsouza,Romantic
Ishq Chupta Nahi Chupane Se,Abhijeet,Sad
Ishq Chupta Nahi,Abhijeet,Romantic
Tu Jahaan,Sonu Nigam,RomanticSad
Girls Like To Swing,Sunidhi Chauhan,Dance
Tu Kamaal Di Kudi,"Mamta Sharma, Vineet Singh",Dance
Tu Kamaal Di Kudi,"Mamta Sharma, Vineet Singh",Dance
Sapne Mein,"Asha Bhosle, Suresh Wadkar",Dance
Sadka,"Mahalakshmi Iyer, Suraj Jagan",
Dekho Dekho Jaanam,"Alka Yagnik, Udit Narayan",Dance
Chhan Ke Mohalla,"Ritu Pathak, Sunidhi Chauhan",Dance
Kaahe Chhed,"Kavita Krishnamurthy, Madhuri Dixit, Pandit Birju Maharaj",Dance
Aate Jaate Jo Milta Hai,"Alka Yagnik, Sonu Nigam",Dance
Uff Teri Adaa I Like You,"Alyssa Mendonsa, Shankar Mahadevan",Dance
Pant Mein Gun,Diljit Dosanjh,Dance
Bachna Ae Haseeno,"Kishore Kumar, Sumit Kumar, Vishal Dadlani",Dance
Ang Se Ang Lagana,"Alka Yagnik, Devki Pandit, Sudesh Bhosle, Vinod Rathod",Dance
Janib (Duet),"Arijit Singh, Sunidhi Chauhan",Romantic
Seedha Saadha,Amit Mishra,Sad
Aaya Re,"Kunal Ganjawala, Sunidhi Chauhan",Dance
Koi Fariyaad,Jagjit Singh,Sad
Rangreli,"Shreya Ghoshal, Wajid",Dance
Loot Jayenge,"Jayesh Gandhi, Kunal Ganjawala",Dance
Pyar Kiya To Darna Kya,Lata Mangeshkar,Dance
Hum To Bhai Jaise Hain,Lata Mangeshkar,Dance
Jatt Jaguar,"Apeksha Dandekar., Navraj Hans, Vishal Dadlani",Dance
Yaad Aa Raha Ha,Bappi Lahiri,Dance
Glamorous Ankhiyaan,"Anjjan, Krishna Beura, Meet Bros",Dance
Kitni Mohabbat Kis Ko,"Alka Yagnik, Kumar Sanu, Udit Narayan",Romantic
Tera Mera Rishta Purana,Mustafa Zahid,Sad
Bin Tere,"Shafqat Amanat Ali, Sunidhi Chauhan",Sad
Tere Dil Ka Rishta,Sonu Nigam,Romantic
Om Mangalam,"Nindy Kaur, RDB",Dance
Chhupana Bhi Nahin Aata,Vinod Rathod,Romantic
Hum Pyar Karne Wale,"Adnan Sami, Anuradha Paudwal, Udit Narayan",Romantic
Khwabon Khwabon,K.K. Suchitra,Dance
Yeh Haseen Vadiyan Yeh Khula Aasman,"A.R. Rahman, K. S. Chithra, S.P. Balasubrahmanyam",Romantic
Yeh Hawa Yeh Bata,Lata Mangeshkar,Dance
Khulke Dulke,"Gippy Grewal, Harshdeep Kaur",Dance
Musu Musu,Shaan,Romantic
Sajh Dhaj Ke,"Mika Singh, Pankaj Kapur",Dance
