Song Name,Artist,Genre
"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy, 
Abracadabra (feat. Future),Sfera Ebbasta,"italian hip hop, italian pop, trap italiana"
Djadja (feat. Maluma) - Remix,Aya Nakamura,"basshall, francoton"
ALWAYS DO,The Kid LAROI,australian hip hop
Smile (with The Weeknd),Juice WRLD,"chicago rap, melodic rap"
Pretty Savage,BLACKPINK,"k-pop, k-pop girl group"
Savage Love (Laxed – Siren Beat) BTS Remix,"Jawsh 685, Jason Derulo",nz pop
Mirrors,Justin Timberlake,"dance pop, pop"
Hollywood (feat. Diplo),Sfera Ebbasta,"italian hip hop, italian pop, trap italiana"
Runnin,"21 Savage, Metro Boomin","atl hip hop, hip hop, rap, trap"
Are You Bored Yet? (feat. Clairo),Wallows,"indie pop, modern rock, pop, rock"
"10,000 Hours (with Justin Bieber)",Dan + Shay,"contemporary country, country, pop"
You Got It,Vedo,"pop r&b, r&b"
Quiéreme Mientras Se Pueda,Manuel Turizo,"colombian pop, latin, reggaeton, reggaeton colombiano, trap latino"
Party Girl,StaySolidRocky,melodic rap
Drankin N Smokin,"Future, Lil Uzi Vert","atl hip hop, pop rap, rap, southern hip hop, trap"
Be Like That - feat. Swae Lee & Khalid,Kane Brown,"contemporary country, country road"
MORE,"K/DA, Madison Beer, (G)I-DLE, Lexie Liu, Jaira Burns, Seraphine, League of Legends",k-pop girl group
Enchule,Rauw Alejandro,"puerto rican pop, trap latino"
Stripes Like Burberry,"Future, Lil Uzi Vert","atl hip hop, pop rap, rap, southern hip hop, trap"
Papi Chulo,"Octavian, Skepta","afroswing, london rap, uk alternative hip hop, uk hip hop"
off the table (with The Weeknd),Ariana Grande,"dance pop, pop, post-teen pop"
Spicy (feat. Post Malone),Ty Dolla $ign,"hip hop, pop, pop rap, r&b, southern hip hop, trap, trap soul"
Sweet Melody,Little Mix,"dance pop, girl group, pop, post-teen pop, talent show, uk pop"
Blueberry Eyes (feat. SUGA of BTS),MAX,"dance pop, electropop, pop, pop rap, post-teen pop, viral pop"
Thats It,"Future, Lil Uzi Vert","atl hip hop, pop rap, rap, southern hip hop, trap"
Promiscuous,"Nelly Furtado, Timbaland","canadian latin, canadian pop, dance pop, pop, pop rap"
GREECE (feat. Drake),DJ Khaled,"hip hop, miami hip hop, pop rap, rap, southern hip hop, trap"
just like magic,Ariana Grande,"dance pop, pop, post-teen pop"
Still Dont Know My Name,Labrinth,"indie poptimism, pop"
Hasta Que Dios Diga,"Anuel AA, Bad Bunny","latin, reggaeton, reggaeton flow, trap boricua, trap latino"
Get You The Moon (feat. Snøw),Kina,sad rap
Moonwalking in Calabasas (feat. Blueface) - Remix,DDG,"rap, trap"
Forever After All,Luke Combs,contemporary country
"Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto)","Super Yei, Jone Quest", 
SLOW DANCING IN THE DARK,Joji,"alternative r&b, viral pop"
Don Don,"Daddy Yankee, Anuel AA, Kendo Kaponi","latin, latin hip hop, reggaeton, trap latino"
my future,Billie Eilish,"electropop, pop"
Nada,"Cali Y El Dandee, Danna Paola","champeta, colombian pop, electro latino, latin, latin pop, reggaeton, reggaeton colombiano, trap latino"
safety net (feat. Ty Dolla $ign),Ariana Grande,"dance pop, pop, post-teen pop"
shut up,Ariana Grande,"dance pop, pop, post-teen pop"
nasty,Ariana Grande,"dance pop, pop, post-teen pop"
TRAGIC (feat. Youngboy Never Broke Again & Internet Money),The Kid LAROI,australian hip hop
Ayer Me Llamó Mi Ex (feat. Lenny Santos),KHEA,"argentine hip hop, trap argentino, trap latino, trap triste"
Madrid (feat. Myke Towers),Maluma,"latin, reggaeton, reggaeton colombiano"
Caramelo - Remix,"Ozuna, KAROL G, Myke Towers","latin, puerto rican pop, reggaeton, trap latino"
Mr. Right Now (feat. Drake),"21 Savage, Metro Boomin","atl hip hop, hip hop, rap, trap"
Got It On Me,Pop Smoke,brooklyn drill
my hair,Ariana Grande,"dance pop, pop, post-teen pop"
obvious,Ariana Grande,"dance pop, pop, post-teen pop"
Beautiful People (feat. Khalid),Ed Sheeran,"pop, uk pop"
Favorito,Camilo,"colombian pop, reggaeton colombiano"
After Party,Don Toliver,"rap, trap"
Rojo,J Balvin,
six thirty,Ariana Grande,"dance pop, pop, post-teen pop"
love language,Ariana Grande,"dance pop, pop, post-teen pop"
west side,Ariana Grande,"dance pop, pop, post-teen pop"
Thriller,Michael Jackson,"pop, r&b, soul"
Dancing With A Stranger (with Normani),Sam Smith,"dance pop, pop, post-teen pop, uk pop"
Angeklagt,Bonez MC,"german hip hop, hamburg hip hop"
Kids Again,Sam Smith,"dance pop, pop, post-teen pop, uk pop"
Highway to Hell,AC/DC,"australian rock, hard rock, rock"
Me Gusta (with Cardi B & Myke Towers),Anitta,"funk carioca, funk pop, pagode baiano, pop nacional"
24 (feat. Lil Baby),Money Man,"memphis hip hop, rap, southern hip hop, trap"
Relación,Sech,"latin, panamanian pop, reggaeton, trap latino"
FRANCHISE (feat. Young Thug & M.I.A.),Travis Scott,"rap, slap house"
Bet You Wanna (feat. Cardi B),BLACKPINK,"k-pop, k-pop girl group"
Wolves (feat. Post Malone),Big Sean,"detroit hip hop, hip hop, pop rap, rap, southern hip hop, trap"
"thank u, next",Ariana Grande,"dance pop, pop, post-teen pop"
MAMACITA,"Black Eyed Peas, Ozuna, J. Rey Soul","dance pop, pop, pop rap"
Fake,"Lauv, Conan Gray","dance pop, electropop, pop, post-teen pop"
OK Not To Be OK,"Marshmello, Demi Lovato",
THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",pop rap
Mamichula - con Nicki Nicole,"Trueno, Bizarrap, Taiu, TATOOL","argentine hip hop, trap argentino, trap latino"
Let Her Go,Passenger,"folk-pop, neo mellow, pop, pop rock"
Play Date,Melanie Martinez,"alt z, electropop, modern rock, pop"
Lose Somebody,"Kygo, OneRepublic","edm, pop, pop dance, tropical house"
Someone Like You,Adele,"british soul, pop, pop soul, uk pop"
Its You,Ali Gatie,"canadian hip hop, pop"
Stunnin (feat. Harm Franklin),Curtis Waters,
Love To Hate Me,BLACKPINK,"k-pop, k-pop girl group"
Hate The Way (feat. blackbear),G-Eazy,"hip hop, indie pop rap, oakland hip hop, pop rap, rap"
Bande organisée,"13 Organisé, SCH, Kofs, Jul, Naps, Soso Maness, Elams, Solda, Houari","french hip hop, pop urbaine, rap francais, rap marseille"
Crazy Over You,BLACKPINK,"k-pop, k-pop girl group"
"Baby, Im Jealous (feat. Doja Cat)",Bebe Rexha,"dance pop, electropop, pop, post-teen pop"
TKN (feat. Travis Scott),ROSALÍA,r&b en espanol
El Mismo Aire - con Pablo Alborán,Camilo,"colombian pop, reggaeton colombiano"
Yo Perreo Sola,Bad Bunny,"latin, reggaeton, trap latino"
Let Me Love You Like A Woman,Lana Del Rey,"art pop, pop"
DOLLAZ ON MY HEAD (feat. Young Thug),Gunna,"atl hip hop, hip hop, melodic rap, rap, trap"
Elegí (feat. Dímelo Flow),"Rauw Alejandro, Dalex, Lenny Tavárez","puerto rican pop, trap latino"
July,Noah Cyrus,"alt z, dance pop, pop, post-teen pop"
Bruises,Lewis Capaldi,"pop, uk pop"
You Never Know,BLACKPINK,"k-pop, k-pop girl group"
Supalonely,"BENEE, Gus Dapperton","alt z, nz pop, pop"
Glock In My Lap,"21 Savage, Metro Boomin","atl hip hop, hip hop, rap, trap"
Better,ZAYN,"dance pop, pop, post-teen pop, uk pop"
forget me too (feat. Halsey),Machine Gun Kelly,"ohio hip hop, pop rap"
Oh Juliana,Niack,funk carioca
"PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix","Feid, J Balvin, Justin Quiles","colombian pop, latin, pop reggaeton, reggaeton, reggaeton colombiano, trap latino"
No Guidance (feat. Drake),Chris Brown,"dance pop, pop, pop rap, r&b, rap"
Rich Nigga Shit (feat. Young Thug),"21 Savage, Metro Boomin","atl hip hop, hip hop, rap, trap"
Many Men,"21 Savage, Metro Boomin","atl hip hop, hip hop, rap, trap"
Slidin,"21 Savage, Metro Boomin","atl hip hop, hip hop, rap, trap"
Outta Time (feat. Drake),Bryson Tiller,"kentucky hip hop, pop, pop rap, r&b, rap, trap"
My Dawg,"21 Savage, Metro Boomin","atl hip hop, hip hop, rap, trap"
Snitches & Rats (feat. Young Nudy),"21 Savage, Metro Boomin","atl hip hop, hip hop, rap, trap"
Brand New Draco,"21 Savage, Metro Boomin","atl hip hop, hip hop, rap, trap"
Lemonade (Feat. Roddy Ricch & Don Toliver) Remix,Internet Money,"pop rap, rap, trap"
Your Man,Joji,"alternative r&b, viral pop"
No Opp Left Behind,"21 Savage, Metro Boomin","atl hip hop, hip hop, rap, trap"
Lets Link,WhoHeem,viral rap
RIP Luv,"21 Savage, Metro Boomin","atl hip hop, hip hop, rap, trap"
Steppin On Niggas,"21 Savage, Metro Boomin","atl hip hop, hip hop, rap, trap"
Gimme Love,Joji,"alternative r&b, viral pop"
Ew,Joji,"alternative r&b, viral pop"
Daylight,"Joji, Diplo","alternative r&b, viral pop"
Epidemic,Polo G,chicago rap
bloody valentine,Machine Gun Kelly,"ohio hip hop, pop rap"
MODUS,Joji,"alternative r&b, viral pop"
Tick Tock,Joji,"alternative r&b, viral pop"
Sanctuary,Joji,"alternative r&b, viral pop"
feel something,Bea Miller,"alt z, dance pop, electropop, indie cafe pop, indie poptimism, modern rock, pop, pop rap, post-teen pop, talent show"
Tap In,Saweetie,"cali rap, dance pop, pop, pop rap, trap queen"
Pretty Boy (feat. Lil Yachty),Joji,"alternative r&b, viral pop"
Afterthought,"Joji, BENEE","alternative r&b, viral pop"
#NAME?,Dalex, 
Over Now (with The Weeknd),Calvin Harris,"dance pop, edm, electro house, house, pop, progressive house, uk dance"
Hate The Other Side (with Marshmello & The Kid Laroi),"Juice WRLD, Polo G","chicago rap, melodic rap"
drunk face,Machine Gun Kelly,"ohio hip hop, pop rap"
Tak Tiki Tak,Harry Nach,"trap chileno, trap latino"
WHATS POPPIN,Jack Harlow,"canadian hip hop, canadian trap, melodic rap, pop rap, r&b, rap, toronto rap, trap"
Money Trees,"Kendrick Lamar, Jay Rock","conscious hip hop, hip hop, rap, west coast rap"
Blastoff (feat. Juice Wrld & Trippie Redd),"Internet Money, Diplo","pop rap, rap, trap"
September,"Earth, Wind & Fire","disco, funk, jazz funk, motown, quiet storm, soul"
Secrets,"Regard, RAYE","dance pop, edm, pop dance, pop edm, slap house, tropical house"
21,Polo G,chicago rap
BXL ZOO,"Damso, Hamza","belgian hip hop, french hip hop, pop urbaine, rap belge, rap conscient"
DEUX TOILES DE MER,Damso,"belgian hip hop, french hip hop, pop urbaine, rap belge, rap conscient"
exile (feat. Bon Iver),Taylor Swift,"pop, post-teen pop"
Righteous,Juice WRLD,"chicago rap, melodic rap"
Conversations,Juice WRLD,"chicago rap, melodic rap"
Dolly (with Lil Uzi Vert),Lil Tecca,"melodic rap, rap, trap"
Chicago Freestyle (feat. Giveon),Drake,"canadian hip hop, canadian pop, hip hop, pop rap, rap, toronto rap"
GOOBA,6ix9ine,"emo rap, rap"
Physical,Dua Lipa,"dance pop, pop, uk pop"
Hot Stuff,"Kygo, Donna Summer","edm, pop, pop dance, tropical house"
Whos Laughing Now,Ava Max,"dance pop, pop"
Sweet but Psycho,Ava Max,"dance pop, pop"
Del Mar,"Ozuna, Doja Cat, Sia","latin, puerto rican pop, reggaeton, trap latino"
Hit Different,"SZA, The Neptunes, Pharrell Williams, Ty Dolla $ign","pop, pop rap, r&b"
Nobodys Love,Maroon 5,"pop, pop rock"
Máquina do Tempo,Matuê,"r&b brasileiro, rap cearense, trap brasileiro"
Fuckst mich nur ab,Bonez MC,"german hip hop, hamburg hip hop"
Jangueo,"Alex Rose, Rafa Pabön","latin, reggaeton, reggaeton flow, trap latino"
We Paid (feat. 42 Dugg),Lil Baby,"atl hip hop, atl trap, rap, trap"
Ihr Hobby,"Bonez MC, Maxwell","german hip hop, hamburg hip hop"
When I Look At You,Miley Cyrus,"dance pop, pop, post-teen pop"
Boss Bitch,Doja Cat,"dance pop, pop"
Aint It Different (feat. AJ Tracey & Stormzy),Headie One,uk hip hop
Some Say - Felix Jaehn Remix,Nea,"scandipop, swedish pop"
Savage Remix (feat. Beyoncé),"Beyoncé, Megan Thee Stallion","dance pop, pop, post-teen pop, r&b"
Lithuania (feat. Travis Scott),Big Sean,"detroit hip hop, hip hop, pop rap, rap, southern hip hop, trap"
"Tap In (feat. Post Malone, DaBaby & Jack Harlow)",Saweetie,"cali rap, dance pop, pop, pop rap, trap queen"
Not Shy,ITZY,k-pop girl group
"The Plan - From the Motion Picture ""TENET""",Travis Scott,"rap, slap house"
ADMV,Maluma,"latin, reggaeton, reggaeton colombiano"
Alane,"Robin Schulz, Wes","dance pop, deep euro house, deep house, edm, german dance, pop, pop dance, tropical house"
THE BADDEST,"K/DA, (G)I-DLE, Wolftyla, Bea Miller, League of Legends",k-pop girl group
Desce Pro Play (PA PA PA),"Mc Zaac, Anitta, Tyga","funk carioca, funk pop"
Mariposa,Peach Tree Rascals,"alternative r&b, chill r&b, indie r&b, pop"
the 1,Taylor Swift,"pop, post-teen pop"
RITMO (Bad Boys For Life),"Black Eyed Peas, J Balvin","dance pop, pop, pop rap"
Unterwegs,"KitschKrieg, Jamule, SFR","german hip hop, german pop, hamburg hip hop"
Whats Love Got to Do with It,"Kygo, Tina Turner","edm, pop, pop dance, tropical house"
Cry About It Later,Katy Perry,"dance pop, pop, post-teen pop"
Banana (feat. Shaggy) - DJ FLe - Minisiren Remix,Conkarah,jawaiian
Gifted (feat. Roddy Ricch),Cordae,"dmv rap, hip hop, pop rap, rap, trap, underground hip hop, vapor trap"
OUT WEST (feat. Young Thug),"JACKBOYS, Travis Scott","rap, trap"
Anaranjado,"Jowell & Randy, J Balvin","latin, latin hip hop, reggaeton, reggaeton flow, trap latino"
Reggaetonera,Anuel AA,"latin, reggaeton, reggaeton flow, trap boricua, trap latino"
Sour Candy (with BLACKPINK),Lady Gaga,"dance pop, pop, post-teen pop"
Rags2Riches 2 (feat. Lil Baby),Rod Wave,florida rap
Bandit (with YoungBoy Never Broke Again),Juice WRLD,"chicago rap, melodic rap"
PAM,"Justin Quiles, Daddy Yankee, El Alfa","latin, reggaeton, trap latino"
Lemonade,"Internet Money, Gunna, Don Toliver, NAV","pop rap, rap, trap"
Frühstück in Paris,"Capital Bra, Cro",german hip hop
ON,BTS,"k-pop, k-pop boy group"
My Oasis (feat. Burna Boy),Sam Smith,"dance pop, pop, post-teen pop, uk pop"
Lifes A Mess (feat. Halsey),Juice WRLD,"chicago rap, melodic rap"
PORFA,"Feid, Justin Quiles",
2012,"Bausa, Juju","german hip hop, german pop"
august,Taylor Swift,"pop, post-teen pop"
if i were u (with Lauv),blackbear,"electropop, pop, pop rap"
Ballin (with Roddy Ricch),Mustard,"cali rap, hip hop, pop rap, rap, southern hip hop, trap"
Stay Gold,BTS,"k-pop, k-pop boy group"
Im Yours,Jason Mraz,"acoustic pop, neo mellow, pop, pop rock"
Youngblood,5 Seconds of Summer,"boy band, dance pop, electropop, pop, post-teen pop"
the last great american dynasty,Taylor Swift,"pop, post-teen pop"
Levitating (feat. Madonna and Missy Elliott) The Blessed Madonna Remix,Dua Lipa,"dance pop, pop, uk pop"
my tears ricochet,Taylor Swift,"pop, post-teen pop"
Rags2Riches (feat. ATR Son Son),Rod Wave,florida rap
Flex (feat. Juice WRLD),Polo G,chicago rap
Rover (feat. DTG),S1mba,"afroswing, social media pop"
Only You Freestyle,"Headie One, Drake",uk hip hop
Hallucinate,Dua Lipa,"dance pop, pop, uk pop"
El Efecto,"Rauw Alejandro, Chencho Corleone","puerto rican pop, trap latino"
Coño,"Jason Derulo, Puri, Jhorrmountain","dance pop, pop, pop rap, post-teen pop"
Jolie nana,Aya Nakamura,"basshall, francoton"
Lovefool,twocolors,"edm, pop dance, pop edm, tropical house"
invisible string,Taylor Swift,"pop, post-teen pop"
Higher Love,"Kygo, Whitney Houston","edm, pop, pop dance, tropical house"
Como Llora,Juanfran,"dominican pop, pop reggaeton, urbano espanol"
Walk Em Down (feat. Roddy Ricch),NLE Choppa,"melodic rap, rap, trap"
Wow.,Post Malone,"dfw rap, melodic rap, rap"
mirrorball,Taylor Swift,"pop, post-teen pop"
seven,Taylor Swift,"pop, post-teen pop"
this is me trying,Taylor Swift,"pop, post-teen pop"
betty,Taylor Swift,"pop, post-teen pop"
BLIND (feat. Young Thug),DaBaby,"north carolina hip hop, rap"
illicit affairs,Taylor Swift,"pop, post-teen pop"
Freak,Doja Cat,"dance pop, pop"
PUNANI,6ix9ine,"emo rap, rap"
Bläulich,Apache 207,german hip hop
Never Let Me Down,"VIZE, Tom Gregory","dance pop, german dance, pop dance, slap house, tropical house"
Savage,Megan Thee Stallion,"houston rap, pop, pop rap, trap queen"
mad woman,Taylor Swift,"pop, post-teen pop"
epiphany,Taylor Swift,"pop, post-teen pop"
peace,Taylor Swift,"pop, post-teen pop"
Move Ya Hips (feat. Nicki Minaj & MadeinTYO),A$AP Ferg,"hip hop, pop rap, rap, southern hip hop, trap, underground hip hop"
Sie ruft,Apache 207,german hip hop
Tilidin Weg,Bonez MC,"german hip hop, hamburg hip hop"
Over Your Head,"Future, Lil Uzi Vert","atl hip hop, pop rap, rap, southern hip hop, trap"
hoax,Taylor Swift,"pop, post-teen pop"
Blood On My Jeans,Juice WRLD,"chicago rap, melodic rap"
Narrow Road (feat. Lil Baby),NLE Choppa,memphis hip hop
Amarillo,J Balvin,"latin, reggaeton, reggaeton colombiano"
Singapur,"El Alfa, Chael Produciendo","dembow, latin, rap dominicano, reggaeton, trap latino"
Tattoo,Rauw Alejandro,"puerto rican pop, trap latino"
"Ego Death (feat. Kanye West, FKA twigs & Skrillex)",Ty Dolla $ign,"hip hop, pop, pop rap, r&b, southern hip hop, trap, trap soul"
Morado,J Balvin,"latin, reggaeton, reggaeton colombiano"
ocean eyes,Billie Eilish,
Lion King On Ice,J. Cole,"conscious hip hop, hip hop, north carolina hip hop, rap"
Andere Welt,"Capital Bra, Clueso, KC Rebell",german hip hop
TELL ME WHY,The Kid LAROI,australian hip hop
Stay High,Juice WRLD,"chicago rap, melodic rap"
What Makes You Beautiful,One Direction,"boy band, pop, post-teen pop, talent show"
Shit Changed,"Ufo361, Sonus030","german cloud rap, german hip hop"
Tell Me U Luv Me (with Trippie Redd),Juice WRLD,"chicago rap, melodic rap"
Bad Energy,Juice WRLD,"chicago rap, melodic rap"
Titanic,Juice WRLD,"chicago rap, melodic rap"
Skechers,DripReport,viral rap
The Bigger Picture,Lil Baby,"atl hip hop, atl trap, rap, trap"
Story of My Life,One Direction,"boy band, pop, post-teen pop, talent show"
Hit My Line,Logic,"conscious hip hop, dmv rap, hip hop, pop rap, rap"
Party Girl (Remix),"StaySolidRocky, Lil Uzi Vert",melodic rap
Up Up And Away,Juice WRLD,"chicago rap, melodic rap"
Man Of The Year,Juice WRLD,"chicago rap, melodic rap"
Fighting Demons,Juice WRLD,"chicago rap, melodic rap"
Cant Die,Juice WRLD,"chicago rap, melodic rap"
Screw Juice,Juice WRLD,"chicago rap, melodic rap"
Past Life (with Selena Gomez),Trevor Daniel,"alternative r&b, melodic rap, pop rap"
I Want It,Juice WRLD,"chicago rap, melodic rap"
Ransom,Lil Tecca,"melodic rap, rap, trap"
Diosa,Myke Towers,trap latino
Never Know (feat. SHIRIN DAVID),Luciano,"german drill, german hip hop"
La Difícil,Bad Bunny,"latin, reggaeton, trap latino"
TROLLZ (with Nicki Minaj),6ix9ine,"emo rap, rap"
Old Town Road - Remix,"Lil Nas X, Billy Ray Cyrus","lgbtq+ hip hop, pop rap"
The Adventures of Moon Man & Slim Shady (with Eminem),Kid Cudi,"hip hop, ohio hip hop, pop rap, rap"
China,"Anuel AA, Daddy Yankee, KAROL G, Ozuna, J Balvin","latin, reggaeton, reggaeton flow, trap boricua, trap latino"
Hola - Remix,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow","latin, r&b en espanol, reggaeton, trap latino"
Ignorantes,"Bad Bunny, Sech","latin, reggaeton, trap latino"
Yummy,Justin Bieber,"canadian pop, pop, post-teen pop"
High Fashion (feat. Mustard),Roddy Ricch,"melodic rap, rap, trap"
Like That (feat. Gucci Mane),Doja Cat,"dance pop, pop"
Goodbyes (feat. Young Thug),Post Malone,"dfw rap, melodic rap, rap"
BOP,DaBaby,"north carolina hip hop, rap"
Sigues Con El,"Dímelo Flow, Arcangel, Sech","latin, perreo, reggaeton, reggaeton flow, trap latino"
Anxiety - Intro,Juice WRLD,"chicago rap, melodic rap"
Juice WRLD Speaks From Heaven - Outro,Juice WRLD,"chicago rap, melodic rap"
"The Man, The Myth, The Legend - Interlude",Juice WRLD,"chicago rap, melodic rap"
Tiefschwarz (feat. Samra),Kontra K,"christlicher rap, german hip hop"
Wash Us In The Blood,"Kanye West, Travis Scott","chicago rap, rap"
Gangstas,Pop Smoke,brooklyn drill
Monster,Red Velvet - IRENE & SEULGI,k-pop
YAYA,6ix9ine,"emo rap, rap"
Narcos,Anuel AA,"latin, reggaeton, reggaeton flow, trap boricua, trap latino"
This City,Sam Fischer,"alt z, australian pop, dance pop, indie cafe pop, pop, post-teen pop, uk pop"
Make It Rain (feat. Rowdy Rebel),Pop Smoke,brooklyn drill
Lalala,"Y2K, bbno$",pop rap
Something Special,Pop Smoke,brooklyn drill
Aim For The Moon (feat. Quavo),Pop Smoke,brooklyn drill
44 BullDog,Pop Smoke,brooklyn drill
Creature (feat. Swae Lee),Pop Smoke,brooklyn drill
Yea Yea,Pop Smoke,brooklyn drill
Enjoy Yourself (feat. Karol G),Pop Smoke,brooklyn drill
Bad Bitch From Tokyo (Intro),Pop Smoke,brooklyn drill
Snitching (feat. Quavo & Future),Pop Smoke,brooklyn drill
West Coast Shit (feat. Tyga & Quavo),Pop Smoke,brooklyn drill
Deep End Freestyle,"Sleepy Hallow, Fousheé","brooklyn drill, nyc rap"
Tommy Lee (feat. Post Malone),Tyla Yaweh,"cali rap, melodic rap, pop rap, rap, trap"
Tunnel Vision (Outro),Pop Smoke,brooklyn drill
Si Veo a Tu Mamá,Bad Bunny,"latin, reggaeton, trap latino"
Prospect (ft. Lil Baby),iann dior,"melodic rap, pop rap"
No Me Conoce - Remix,"Jhay Cortez, J Balvin, Bad Bunny","latin, reggaeton, trap latino"
El Manual,Anuel AA,"latin, reggaeton, reggaeton flow, trap boricua, trap latino"
Thunder,Imagine Dragons,"modern rock, pop, rock"
El Efecto - Remix,"Rauw Alejandro, Chencho Corleone, KEVVO, Bryant Myers, Lyanno, Dalex","puerto rican pop, trap latino"
Better Now,Post Malone,"dfw rap, melodic rap, rap"
Dont Stop Believin,Journey,"album rock, classic rock, hard rock, mellow gold, rock, soft rock"
BLACK PARADE,Beyoncé,"dance pop, pop, post-teen pop, r&b"
XXL,"Miksu / Macloud, Summer Cem, Luciano, Jamule",german hip hop
Salt,Ava Max,
Daisies,Katy Perry,"dance pop, pop, post-teen pop"
Emotionally Scarred,Lil Baby,"atl hip hop, atl trap, rap, trap"
Myron,Lil Uzi Vert,"melodic rap, philly rap, rap, trap"
MORE & MORE,TWICE,"k-pop, k-pop girl group"
Girls in the Hood,Megan Thee Stallion,"houston rap, pop, pop rap, trap queen"
Parasite Eve,Bring Me The Horizon,"melodic metalcore, metalcore, rock, uk metalcore"
Sucker,Jonas Brothers,"boy band, dance pop, pop, post-teen pop"
I Like Me Better,Lauv,"dance pop, electropop, pop, post-teen pop"
High Hopes,Panic! At The Disco,modern rock
Money In The Grave (Drake ft. Rick Ross),Drake,"canadian hip hop, canadian pop, hip hop, pop rap, rap, toronto rap"
Say So (feat. Nicki Minaj),Doja Cat,"dance pop, pop"
Karaoke,"Boomdabash, Alessandra Amoroso",
Know Your Worth,"Khalid, Disclosure",pop
No Idea,Don Toliver,"rap, trap"
Airwaves,Pashanim,"german alternative rap, german drill, german hip hop, german trap"
Kill This Love,BLACKPINK,"k-pop, k-pop girl group"
Lights Up,Harry Styles,"pop, post-teen pop"
Lose You To Love Me,Selena Gomez,"dance pop, pop, post-teen pop"
Girls Like You (feat. Cardi B),Maroon 5,"pop, pop rock"
PA ROMPERLA,"Bad Bunny, Don Omar","latin, reggaeton, trap latino"
VACATION,Tyga,"dance pop, hip hop, pop rap, rap, southern hip hop, trap"
Big Body Benz,Bonez MC,"german hip hop, hamburg hip hop"
Ich weiß nicht mal wie sie heißt,"Capital Bra, Bozza",german hip hop
Fútbol & Rumba (feat. Enrique Iglesias),Anuel AA,"latin, reggaeton, reggaeton flow, trap boricua, trap latino"
Bleed,A Boogie Wit da Hoodie,"melodic rap, pop rap, rap, trap"
Snow On Tha Bluff,J. Cole,"conscious hip hop, hip hop, north carolina hip hop, rap"
Djomb - Bien ou quoi,Bosh,"francoton, french hip hop, pop urbaine, rap francais"
In Your Eyes (feat. Alida),"Alida, Robin Schulz","dance pop, deep euro house, deep house, edm, german dance, pop, pop dance, tropical house"
Stupid Love,Lady Gaga,
Shotta Flow 5,NLE Choppa,memphis hip hop
IDK You Yet,Alexander 23,"alt z, indie cafe pop, pop, post-teen pop, social media pop"
Piece Of Your Heart,"MEDUZA, Goodboys","dance pop, edm, pop dance, pop house, tropical house"
Na Raba Toma Tapão,Niack,funk carioca
La Santa,"Bad Bunny, Daddy Yankee","latin, reggaeton, trap latino"
Make You Mine,PUBLIC,indie rockism
ROCKSTAR (feat. Roddy Ricch) - BLM REMIX,DaBaby,"north carolina hip hop, rap"
Make It Rain,"Pop Smoke, Rowdy Rebel",brooklyn drill
M Manc (con Geolier & Sfera Ebbasta),Shablo,italian hip hop
Emotions 2.0,"Ufo361, CÉLINE","german cloud rap, german hip hop"
P2,Lil Uzi Vert,"melodic rap, philly rap, rap, trap"
Selfish,Madison Beer,"alt z, dance pop, electropop, pop, post-teen pop"
Surrender,Natalie Taylor,
Turks (with Gunna & ft. Travis Scott),NAV,"canadian hip hop, canadian trap, hip hop, melodic rap, pop rap, rap, toronto rap, trap"
BYE ME FUI,Bad Bunny,"latin, reggaeton, trap latino"
Vete,Bad Bunny,"latin, reggaeton, trap latino"
Like It Is,"Kygo, Zara Larsson, Tyga","edm, pop, pop dance, tropical house"
My Oh My (feat. DaBaby),Camila Cabello,"dance pop, electropop, pop, post-teen pop"
Let Me Down Slowly,Alec Benjamin,"alt z, electropop, pop"
BELIEVE IT,"PARTYNEXTDOOR, Rihanna","pop, pop rap, r&b, rap, toronto rap, trap, urban contemporary"
Boot,Apache 207,german hip hop
Riot,XXXTENTACION,"emo rap, miami hip hop"
VALLA NEIN (feat. Luciano),"KC Rebell, Summer Cem","german drill, german hip hop"
Im Ready (with Demi Lovato),Sam Smith,"dance pop, pop, post-teen pop, uk pop"
This Is America,Childish Gambino,"atl hip hop, hip hop, pop rap, rap"
Fantasias,"Rauw Alejandro, Farruko","puerto rican pop, trap latino"
BAD CON NICKY,"Bad Bunny, Nicky Jam","latin, reggaeton, trap latino"
If I Cant Have You,Shawn Mendes,"canadian pop, dance pop, pop, post-teen pop, viral pop"
What A Man Gotta Do,Jonas Brothers,"boy band, dance pop, pop, post-teen pop"
Callaita,"Bad Bunny, Tainy","latin, reggaeton, trap latino"
Solitaires (feat. Travis Scott),Future,"atl hip hop, pop rap, rap, southern hip hop, trap"
XO Tour Llif3,Lil Uzi Vert,"melodic rap, philly rap, rap, trap"
changes,XXXTENTACION,"emo rap, miami hip hop"
Suicidal (Remix) feat. Juice WRLD,YNW Melly,"melodic rap, trap"
Level of Concern,Twenty One Pilots,"modern rock, rock"
Alice,Lady Gaga,"dance pop, pop, post-teen pop"
Free Woman,Lady Gaga,"dance pop, pop, post-teen pop"
