Song Name,Artist,Genre
As the World Caves In,Sarah Cothran,
Fancy Like,Walker Hayes,"contemporary country, country, country road, modern country rock"
Cúrame,Rauw Alejandro,"puerto rican pop, trap latino"
All of Me,John Legend,"neo soul, pop, pop soul, r&b, urban contemporary"
Martin & Gina,Polo G,chicago rap
Dior,Pop Smoke,brooklyn drill
Best Friend (feat. Doja Cat),Saweetie,"cali rap, dance pop, pop, pop rap, trap queen"
The Hills,The Weeknd,"canadian contemporary r&b, canadian pop, pop"
Good Days,SZA,"pop, pop rap, r&b"
Kiss My (Uh Oh),"Anne-Marie, Little Mix","dance pop, pop, pop dance, post-teen pop, tropical house, uk pop"
De Museo,Bad Bunny,"latin, reggaeton, trap latino"
7 rings,Ariana Grande,"dance pop, pop, post-teen pop"
Chosen (feat. Ty Dolla $ign),"Blxst, Tyga",
Não Nasceu pra Namorar,"MC Zaquin, MC Rick","funk bh, funk carioca"
Breaking Me,"Topic, A7S","dance pop, edm, german dance, pop dance, pop edm, tropical house"
penhasco.,Luísa Sonza,"funk carioca, pop nacional"
Late At Night,Roddy Ricch,"melodic rap, rap, trap"
Verdansk,Dave,uk hip hop
The Real Slim Shady,Eminem,"detroit hip hop, hip hop, rap"
Tell The Vision (feat. Kanye West & Pusha T),Pop Smoke,brooklyn drill
Woo Baby (feat. Chris Brown),Pop Smoke,brooklyn drill
Holy Smokes,"Trippie Redd, Lil Uzi Vert","melodic rap, rap, trap"
More Time,Pop Smoke,brooklyn drill
Coupe,Pop Smoke,brooklyn drill
Holiday,KSI,uk hip hop
Manslaughter (feat. Rick Ross & The-Dream),Pop Smoke,brooklyn drill
Genius (feat. Lil Tjay & Swae Lee),Pop Smoke,brooklyn drill
WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),"Tyler, The Creator","hip hop, rap"
Sommergewitter,Pashanim,"german alternative rap, german drill, german hip hop, german trap"
"Body (Remix) feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo","Tion Wayne, Russ Millions",london rap
Brush Em (feat. Rah Swish),Pop Smoke,brooklyn drill
AM,"Nio Garcia, Flow La Movie","latin, reggaeton, trap latino"
MI FAI IMPAZZIRE,"BLANCO, Sfera Ebbasta","italian hip hop, italian pop"
Ride It,Regard,"dance pop, edm, pop dance, pop edm, slap house, tropical house"
Lost Cause,Billie Eilish,
Shot in the Dark,John Mayer,"neo mellow, pop rock, singer-songwriter"
Wrecked,Imagine Dragons,"modern rock, pop, rock"
Bipolar,"Mc Davi, Mc Pedrinho, Mc Don Juan","funk carioca, funk ostentacao, funk paulista"
"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)",Internet Money,"pop rap, rap, trap"
Follow You,Imagine Dragons,"modern rock, pop, rock"
Were Good,Dua Lipa,"dance pop, pop, uk pop"
Life Goes On,BTS,"k-pop, k-pop boy group"
911,Sech,"latin, panamanian pop, reggaeton, trap latino"
Baila Conmigo (with Rauw Alejandro),Selena Gomez,"dance pop, pop, post-teen pop"
The Jackie (with J. Cole & Lil Tjay),Bas,"hip hop, pop rap, queens hip hop, rap, sudanese pop, underground hip hop"
hope ur ok,Olivia Rodrigo,pop
Faz Amor Comigo Só Hoje - Ao Vivo,"Israel & Rodolffo, Wesley Safadão","sertanejo, sertanejo pop, sertanejo universitario"
Alcohol-Free,TWICE,"k-pop, k-pop girl group"
WHOLE LOTTA MONEY (feat. Nicki Minaj) - Remix,BIA,"escape room, r&b, rap latina, trap queen"
Memory,"Kane Brown, blackbear","contemporary country, country road"
Me Fije,"Alex Rose, Rauw Alejandro","latin, reggaeton, reggaeton flow, trap latino"
"Volta Bebê, Volta Neném","Dj Guuga, DJ Ivis","funk carioca, funk paulista, rave funk"
Aloha,"Maluma, Beéle, Rauw Alejandro, Mambo Kingz, DJ Luian, Darell","latin, reggaeton, reggaeton colombiano"
Sexo Virtual,Rauw Alejandro,"puerto rican pop, trap latino"
Closer,"The Chainsmokers, Halsey","dance pop, edm, electropop, pop, pop dance, tropical house"
Wonderwall - Remastered,Oasis,"beatlesque, britpop, madchester, permanent wave, rock"
Wasting Time ( feat. Drake ),Brent Faiyaz,"dmv rap, pop, r&b, rap"
I Dont Do Drugs (feat. Ariana Grande),Doja Cat,"dance pop, pop"
Renegade (feat. Taylor Swift),Big Red Machine,"eau claire indie, folktronica"
JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),"Tyler, The Creator","hip hop, rap"
All Eyes On Me,Bo Burnham,comic
EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),DJ Khaled,"hip hop, miami hip hop, pop rap, rap, southern hip hop, trap"
Dick (feat. Doja Cat),StarBoi3,
Solar Power,Lorde,"art pop, dance pop, electropop, metropopolis, nz pop, pop, post-teen pop"
Your Power,Billie Eilish,"electropop, pop"
Lieben wir,Shirin David,"frauenrap, german hip hop, german pop"
Whoopty,CJ,nyc rap
Batom de Cereja - Ao Vivo,Israel & Rodolffo,"sertanejo, sertanejo pop, sertanejo universitario"
Prisoner (feat. Dua Lipa),Miley Cyrus,"dance pop, pop, post-teen pop"
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,"dance pop, pop rap"
Reloj,"Rauw Alejandro, Anuel AA","puerto rican pop, trap latino"
malibu,sangiovanni,
"Eladio Carrion: Bzrp Music Sessions, Vol. 40","Bizarrap, Eladio Carrion","argentine hip hop, pop venezolano, trap argentino, trap latino"
Do I Wanna Know?,Arctic Monkeys,"garage rock, permanent wave, rock, sheffield indie"
LUMBERJACK,"Tyler, The Creator","hip hop, rap"
LEMONHEAD (feat. 42 Dugg),"Tyler, The Creator","hip hop, rap"
HOT WIND BLOWS (feat. Lil Wayne),"Tyler, The Creator","hip hop, rap"
CORSO,"Tyler, The Creator","hip hop, rap"
SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),"Tyler, The Creator","hip hop, rap"
SIR BAUDELAIRE (feat. DJ Drama),"Tyler, The Creator","hip hop, rap"
MASSA,"Tyler, The Creator","hip hop, rap"
RUNITUP (feat. Teezo Touchdown),"Tyler, The Creator","hip hop, rap"
MANIFESTO (feat. Domo Genesis),"Tyler, The Creator","hip hop, rap"
Get Into It (Yuh),Doja Cat,"dance pop, pop"
WILSHIRE,"Tyler, The Creator","hip hop, rap"
RISE! (feat. DAISY WORLD),"Tyler, The Creator","hip hop, rap"
Naked,Doja Cat,"dance pop, pop"
Having Our Way (feat. Drake),Migos,"atl hip hop, pop rap, rap, trap"
Payday (feat. Young Thug),Doja Cat,"dance pop, pop"
Been Like This,Doja Cat,"dance pop, pop"
MILLE (feat. Orietta Berti),"Fedez, Achille Lauro","italian adult pop, italian pop"
UN DIA (ONE DAY) (Feat. Tainy),"J Balvin, Dua Lipa, Bad Bunny","latin, reggaeton, reggaeton colombiano"
Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",nz pop
Poblado,"Crissin, Totoy El Frio, Natan & Shander","latin, reggaeton, reggaeton colombiano"
Hecha Pa Mi,Boza,reggaeton
working,"Tate McRae, Khalid","alt z, dance pop, pop, post-teen pop"
Petrouchka (feat. PLK),Soso Maness,"francoton, french hip hop, pop urbaine, rap francais, rap marseille"
p r i d e . i s . t h e . d e v i l (with Lil Baby),J. Cole,"conscious hip hop, hip hop, north carolina hip hop, rap"
m y . l i f e (with 21 Savage & Morray),J. Cole,"conscious hip hop, hip hop, north carolina hip hop, rap"
Jocelyn Flores,XXXTENTACION,"emo rap, miami hip hop"
No Return (with The Kid LAROI & Lil Durk),Polo G,chicago rap
The Box,Roddy Ricch,"melodic rap, rap, trap"
Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,Nathan Evans,
Cant Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,"modern rock, pop rap, seattle hip hop"
Anyone,Justin Bieber,
my exs best friend (with blackbear),Machine Gun Kelly,"ohio hip hop, pop rap"
Just the Way You Are,Bruno Mars,"dance pop, pop, post-teen pop"
HIGHEST IN THE ROOM,Travis Scott,"rap, slap house"
Break My Heart,Dua Lipa,"dance pop, pop, uk pop"
Laugh Now Cry Later (feat. Lil Durk),Drake,"canadian hip hop, canadian pop, hip hop, pop rap, rap, toronto rap"
We Are The People (feat. Bono & The Edge) - Official UEFA EURO 2020 Song,Martin Garrix,"dance pop, dutch edm, edm, pop, pop dance, progressive house, tropical house"
Ella No Es Tuya - Remix,"Rochy RD, Myke Towers, Nicki Nicole","dembow, dominican pop, rap dominicano, trap latino"
In the End,Linkin Park,"alternative metal, nu metal, post-grunge, rap metal"
No Role Modelz,J. Cole,"conscious hip hop, hip hop, north carolina hip hop, rap"
SICKO MODE,Travis Scott,"rap, slap house"
Something Just Like This,"The Chainsmokers, Coldplay","dance pop, edm, electropop, pop, pop dance, tropical house"
You,"Regard, Troye Sivan, Tate McRae","dance pop, edm, pop dance, pop edm, slap house, tropical house"
Straightenin,Migos,"atl hip hop, pop rap, rap, trap"
GANG GANG (with Lil Wayne),Polo G,chicago rap
Black Hearted,Polo G,chicago rap
Lost,Maroon 5,"pop, pop rock"
Avalanche,Migos,"atl hip hop, pop rap, rap, trap"
My Head & My Heart,Ava Max,"dance pop, pop"
Malibu (feat. Polo G),Migos,"atl hip hop, pop rap, rap, trap"
GIRL LIKE ME,"Black Eyed Peas, Shakira","dance pop, pop, pop rap"
Clueless (with Pop Smoke & Fivio Foreign),Polo G,chicago rap
Modern Day,Migos,"atl hip hop, pop rap, rap, trap"
Therefore I Am,Billie Eilish,
TE MUDASTE,Bad Bunny,"latin, reggaeton, trap latino"
Tipo Gin - Ao Vivo,MC Kevin o Chris,"funk 150 bpm, funk carioca"
Higher Power,Coldplay,
SUN GOES DOWN,Lil Nas X,"lgbtq+ hip hop, pop rap"
Painting Pictures,Polo G,chicago rap
Rain On Me (with Ariana Grande),Lady Gaga,"dance pop, pop, post-teen pop"
Hats Off (feat. Travis Scott),"Lil Baby, Lil Durk","atl hip hop, atl trap, rap, trap"
Last Train Home,John Mayer,"neo mellow, pop rock, singer-songwriter"
Voice of the Heroes,"Lil Baby, Lil Durk","atl hip hop, atl trap, rap, trap"
0X1=LOVESONG (I Know I Love you),"TOMORROW X TOGETHER, Seori","k-pop, k-pop boy group"
a m a r i,J. Cole,"conscious hip hop, hip hop, north carolina hip hop, rap"
NEVER LEFT,Lil Tecca,"melodic rap, rap, trap"
Solid (feat. Drake),"Young Stoner Life, Young Thug, Gunna","rap, trap"
La Nota,"Manuel Turizo, Rauw Alejandro, Myke Towers","colombian pop, latin, reggaeton, reggaeton colombiano, trap latino"
Golden,Harry Styles,"pop, post-teen pop"
CORALINE,Måneskin,"indie rock italiano, italian pop"
BICHOTA,KAROL G,
Slumber Party (feat. Princess Nokia),Ashnikko,"electropop, escape room, pop"
Killer (feat. Jack Harlow & Cordae) - Remix,Eminem,"detroit hip hop, hip hop, rap"
Liberdade (Quando o Grave Bate Forte),"Alok, Mc Don Juan, Dj GBR","electro house, pop nacional, slap house"
All Girls Are The Same,Juice WRLD,"chicago rap, melodic rap"
734,Juice WRLD,"chicago rap, melodic rap"
Boy With Luv (feat. Halsey),BTS,"k-pop, k-pop boy group"
Disco Arranhado - Funk Remix,"Malu, DJ Lucas Beat",
Godzilla (feat. Juice WRLD),Eminem,"detroit hip hop, hip hop, rap"
Blueberry Faygo,Lil Mosey,"melodic rap, rap, rap conscient, trap, vapor trap"
Somebody That I Used To Know,"Gotye, Kimbra",australian pop
Holy (feat. Chance The Rapper),Justin Bieber,"canadian pop, pop, post-teen pop"
Vida Louca,"Mc Poze do Rodo, Neo Beats, Mainstreet","funk carioca, funk ostentacao"
i n t e r l u d e,J. Cole,"conscious hip hop, hip hop, north carolina hip hop, rap"
Butter (Instrumental),BTS,"k-pop, k-pop boy group"
Film out,BTS,"k-pop, k-pop boy group"
Voilà,Barbara Pravi,"eurovision, nouvelle chanson francaise"
Shy Away,Twenty One Pilots,"modern rock, rock"
Saturday,Twenty One Pilots,"modern rock, rock"
9 5 . s o u t h,J. Cole,"conscious hip hop, hip hop, north carolina hip hop, rap"
Seeing Green (with Drake & Lil Wayne),Nicki Minaj,"dance pop, hip pop, pop, pop rap, post-teen pop, queens hip hop"
Dark Side,Blind Channel,"eurovision, oulu metal, trancecore"
SHUM,Go_A,eurovision
In the morning,ITZY,k-pop girl group
l e t . g o . m y . h a n d (with Bas & 6LACK),J. Cole,"conscious hip hop, hip hop, north carolina hip hop, rap"
Whats Next,Drake,"canadian hip hop, canadian pop, hip hop, pop rap, rap, toronto rap"
Ramen & OJ,"Joyner Lucas, Lil Baby","boston hip hop, hip hop, pop rap, rap"
Cloud 9,Beach Bunny,"bubblegrunge, chicago indie, indie pop, pop"
Tout lunivers,Gjons Tears,
Headshot (feat. Polo G & Fivio Foreign),Lil Tjay,"brooklyn drill, melodic rap, nyc rap"
Mask,Dream,dream smp
10 Years,Daði Freyr,"icelandic pop, sunnlensk tonlist"
Choker,Twenty One Pilots,"modern rock, rock"
a p p l y i n g . p r e s s u r e,J. Cole,"conscious hip hop, hip hop, north carolina hip hop, rap"
1 0 0 . m i l  (with Bas),J. Cole,"conscious hip hop, hip hop, north carolina hip hop, rap"
p u n c h i n  . t h e . c l o c k,J. Cole,"conscious hip hop, hip hop, north carolina hip hop, rap"
t h e . c l i m b . b a c k,J. Cole,"conscious hip hop, hip hop, north carolina hip hop, rap"
h u n g e r . o n . h i l l s i d e (with Bas),J. Cole,"conscious hip hop, hip hop, north carolina hip hop, rap"
c l o s e,J. Cole,"conscious hip hop, hip hop, north carolina hip hop, rap"
WITHOUT YOU (with Miley Cyrus),The Kid LAROI,australian hip hop
"Snow Tha Product: Bzrp Music Sessions, Vol. 39","Bizarrap, Snow Tha Product","argentine hip hop, pop venezolano, trap argentino, trap latino"
Travesuras - Remix,"Nio Garcia, Casper Magico, Ozuna, Wisin & Yandel, Myke Towers, Flow La Movie","latin, reggaeton, trap latino"
Bubblegum Bitch,MARINA,"dance pop, electropop, metropopolis, pop, post-teen pop, uk alternative pop"
Falling,Harry Styles,"pop, post-teen pop"
Explícito,Myke Towers,trap latino
No Te Enamores - Remix,"Milly, Farruko, Nio Garcia, Jay Wheeler, Amenazzy","reggaeton, reggaeton flow, trap latino"
PROBLEMA,Daddy Yankee,
Lonely (with benny blanco),Justin Bieber,"canadian pop, pop, post-teen pop"
Cupids Chokehold / Breakfast in America,Gym Class Heroes,"dance pop, pop rap"
If the World Was Ending - feat. Julia Michaels,JP Saxe,"alt z, canadian contemporary r&b, indie cafe pop, pop, pop rock, post-teen pop"
"I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby)",DJ Khaled,"hip hop, miami hip hop, pop rap, rap, southern hip hop, trap"
Body,"Russ Millions, Tion Wayne",london rap
everything i wanted,Billie Eilish,
What You Need,Don Toliver,"rap, trap"
"L-Gante: Bzrp Music Sessions, Vol.38","Bizarrap, L-Gante","argentine hip hop, pop venezolano, trap argentino, trap latino"
HOLIDAY,Lil Nas X,"lgbtq+ hip hop, pop rap"
At My Worst,Pink Sweat$,"bedroom soul, pop"
Life Is Good (feat. Drake),Future,"atl hip hop, pop rap, rap, southern hip hop, trap"
Extasy,"187 Strassenbande, Bonez MC, Frauenarzt","german hip hop, hamburg hip hop"
Wishing Well,Juice WRLD,"chicago rap, melodic rap"
Fan de Tus Fotos,"Nicky Jam, Romeo Santos","latin, latin hip hop, reggaeton, trap latino"
Tapão Na Raba,Raí Saia Rodada,forro
Machu Picchu,"Camilo, Evaluna Montaner","colombian pop, reggaeton colombiano"
