Series_Title,Runtime_of_Series,Certificate,Genre,IMDB_Rating,Overview,Star1,Star2,Star3,Star4
The Colbert Report,(2005–2014),,"Comedy, News, Talk-Show",8.4,"Satirical newscaster Stephen Colbert provides humorous commentary on the big issues going on in the United States and the rest of the world, with his larger-than-life ego and overly-patriotic spirit along with him every step of the way.",Stephen Colbert,Jay Katsir,Jon Stewart,Paul Dinello
X-Men,(1992–1997),,"Animation, Action, Family",8.4,A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.,Cedric Smith,Cal Dodd,Lenore Zann,George Buza
The Nanny,(1993–1999),,"Comedy, Family, Romance",6.9,"After being fired from her job and dumped by her boyfriend, a cosmetics saleswoman becomes the nanny to the three children of a rich English widower. As time passes, the two fall for each other.",Fran Drescher,Charles Shaughnessy,Daniel Davis,Lauren Lane
Empire,(2015–2020),15,"Drama, Music",7.4,"A hip-hop mogul must choose a successor among his three sons who are battling for control over his multi-million dollar company, while his ex-wife schemes to reclaim what is hers.",Terrence Howard,Taraji P. Henson,Jussie Smollett,Bryshere Y. Gray
Trailer Park Boys,(2001–2018),18,"Comedy, Crime",8.4,Three petty felons have a documentary made about their life in a trailer park.,John Paul Tremblay,Robb Wells,Mike Smith,John Dunsworth
The Powerpuff Girls,(1998–2005),,"Animation, Action, Adventure",7.2,"Three super-powered little girls constantly save the world (or at least the city of Townsville) from monsters, would-be conquerers and a few other gross things.",Cathy Cavadini,Elizabeth Daily,Tara Strong,Tom Kenny
Love,(2016–2018),18,"Comedy, Drama, Romance",7.7,"A program that follows a couple who must navigate the exhilarations and humiliations of intimacy, commitment and other things they were hoping to avoid.",Gillian Jacobs,Paul Rust,Claudia O'Doherty,Mike Mitchell
Ted Lasso,(2020– ),A,"Comedy, Drama, Sport",8.7,Follows US American Football coach Ted Lasso heading to the UK to manage a struggling London football team in the top flight of English football.,Jason Sudeikis,Hannah Waddingham,Brendan Hunt,Jeremy Swift
The Terror,(2018– ),16,"Adventure, Drama, History",8,"Supernatural, semihistorical, horror anthology series, where each season is inspired by a different infamous or mysterious real life historical tragedy.",Jared Harris,Derek Mio,Tobias Menzies,Kiki Sukezane
Hannah Montana,(2006–2011),PG,"Comedy, Family, Music",5.1,Adventures of a teenage pop star who keeps her identity secret from even her closest friends by using a disguise on-stage.,Miley Cyrus,Emily Osment,Jason Earles,Billy Ray Cyrus
Hemlock Grove,(2013–2015),,"Drama, Horror, Mystery",7.1,"Secrets are just part of daily life in the small Pennsylvania town of Hemlock Grove, where the darkest evils hide in plain sight.",Famke Janssen,Bill Skarsgård,Landon Liboiron,Joel de la Fuente
Timeless,(2016–2018),15,"Action, Adventure, Drama",7.7,An unlikely trio travel through time in order to battle unknown criminals and protect history as we know it.,Abigail Spencer,Matt Lanter,Malcolm Barrett,Paterson Joseph
Tokyo Ghoul,-2014,18,"Animation, Action, Drama",7.9,"A Tokyo college student is attacked by a ghoul, a superpowered human who feeds on human flesh. He survives, but has become part ghoul and becomes a fugitive on the run.",Natsuki Hanae,Austin Tindle,Sora Amamiya,Brina Palencia
Sword Art Online,(2012– ),18,"Animation, Action, Adventure",7.6,"In the year 2022, thousands of people get trapped in a new virtual MMORPG and the lone wolf player, Kirito, works to escape.",Yoshitsugu Matsuoka,Haruka Tomatsu,Bryce Papenbrook,Cherami Leigh
Father Ted,(1995–1998),,Comedy,8.6,"Three misfit priests and their housekeeper live on Craggy Island, not the peaceful and quiet part of Ireland that it seems to be.",Dermot Morgan,Ardal O'Hanlon,Frank Kelly,Pauline McLynn
What We Do in the Shadows,(2019– ),15,"Comedy, Fantasy, Horror",8.5,"A look into the daily (or rather, nightly) lives of three vampires, who've lived together for over 100 years, on Staten Island.",Kayvan Novak,Matt Berry,Natasia Demetriou,Harvey Guillén
Dawson's Creek,(1998–2003),18,"Drama, Romance",6.6,Four friends in a small coastal town help each other cope with adolescence.,James Van Der Beek,Katie Holmes,Michelle Williams,Joshua Jackson
Humans,(2015–2018),,"Drama, Sci-Fi",8,In a parallel present where the latest must-have gadget for any busy family is a 'Synth' - a highly-developed robotic servant that's so similar to a real human is transforming the way we live.,Katherine Parkinson,Gemma Chan,Lucy Carless,Tom Goodman-Hill
The Black Adder,(1982–1983),,Comedy,8.1,"In the Middle Ages, Prince Edmund the Black Adder constantly schemes and endeavors to seize the crown from his father and brother.",Rowan Atkinson,Brian Blessed,Elspet Gray,Tim McInnerny
MacGyver,(1985–1992),,"Action, Adventure, Crime",7.7,The adventures of a secret Agent armed with almost infinite scientific resourcefulness.,Richard Dean Anderson,Dana Elcar,Bruce McGill,Robin Mossley
Boku no hîrô akademia,(2016– ),16,"Animation, Action, Adventure",8.5,A superhero-loving boy without any powers is determined to enroll in a prestigious hero academy and learn what it really means to be a hero.,Daiki Yamashita,Nobuhiko Okamoto,Justin Briner,Ayane Sakura
Drake & Josh,(2004–2007),,"Comedy, Family",7.7,Two teens become step brothers. One is an awkward geek and the other is a popular musician.,Drake Bell,Josh Peck,Miranda Cosgrove,Nancy Sullivan
O Mecanismo,(2018– ),18,"Crime, Drama, Thriller",8.4,Dramatic fiction series loosely inspired by an investigation of corruption in Brazil's private and state oil companies and construction companies.,Caroline Abras,Selton Mello,Enrique Diaz,Jonathan Haagensen
Haven,(2010– ),,"Crime, Drama, Fantasy",7.6,"Many in the coastal town of Haven, Maine have a dormant curse or ""trouble"" that could trigger at any time for any reason. FBI agent Audrey Parker, the sheriff and the town's black sheep must deal with the troubles' deadly effects.",Emily Rose,Lucas Bryant,Eric Balfour,Richard Donat
Doctor Who,(1963–1989),U,"Adventure, Drama, Family",8.4,"The adventures in time and space of the Doctor, a Time Lord who changes appearance and personality by regenerating when near death, and is joined by companions in battles against aliens and other megalomaniacs.",William Hartnell,Patrick Troughton,Jon Pertwee,Tom Baker
Phineas and Ferb,(2007–2015),,"Animation, Short, Action",8,"Phineas and Ferb invent, scheme, and stay one step ahead of their bratty sister. Meanwhile, their pet platypus plots against evil Dr. Doofenshmirtz.",Vincent Martella,Thomas Brodie-Sangster,Dan Povenmire,Ashley Tisdale
Lethal Weapon,(2016–2019),16,"Action, Comedy, Crime",7.9,A slightly unhinged cop is partnered with a veteran detective trying to maintain a low stress level in his life.,Damon Wayans,Keesha Sharp,Kevin Rahm,Michelle Mitchenor
Raising Hope,(2010–2014),,"Comedy, Family",8,"Jimmy becomes a single parent to an infant after her mother, with whom he had a one-night stand, ends up on Death Row.",Lucas Neff,Martha Plimpton,Garret Dillahunt,Shannon Woodward
Beauty and the Beast,(2012–2016),16,"Drama, Horror, Romance",7.1,A beautiful detective falls in love with an ex-soldier who goes into hiding from the secret government organization that turned him into a mechanically charged beast.,Kristin Kreuk,Jay Ryan,Nina Lisandrello,Austin Basis
Masters of Sex,(2013–2016),16,"Drama, Romance",7.9,Drama about the pioneers of the science of human sexuality whose research touched off the sexual revolution.,Michael Sheen,Lizzy Caplan,Caitlin FitzGerald,Teddy Sears
Young Sheldon,(2017– ),U,Comedy,7.4,Meet a child genius named Sheldon Cooper; (already seen as an adult in The Big Bang Theory (2007)) and his family. Some unique challenges face Sheldon who seems socially impaired.,Iain Armitage,Zoe Perry,Lance Barber,Montana Jordan
Scream Queens,(2015–2016),,"Comedy, Horror, Mystery",7.1,"A semi-anthology series that centers on characters being terrorized by a serial killer in different locations, including a university and a hospital.",Emma Roberts,Lea Michele,Abigail Breslin,Keke Palmer
Sabrina the Teenage Witch,(1996–2003),U,"Comedy, Family, Fantasy",6.7,"When a sixteen-year-old high school student finds out she's a witch, her two aunts offer guidance on how to control her newly-discovered magical powers.",Melissa Joan Hart,Caroline Rhea,Beth Broderick,Nick Bakay
Doom Patrol,(2019– ),,"Action, Adventure, Comedy",7.9,The adventures of an idealistic mad scientist and his field team of superpowered outcasts.,Diane Guerrero,April Bowlby,Matt Bomer,Brendan Fraser
Line of Duty,(2012– ),16,"Crime, Drama, Mystery",8.7,"Drama series following the investigations of AC-12, a controversial police anticorruption unit.",Adrian Dunbar,Martin Compston,Vicky McClure,Craig Parkinson
Don't Trust the B---- in Apartment 23,(2012–2013),,Comedy,7.3,"Chloe is a New York party girl with the morals of a pirate. She causes trouble for her naive small town roommate, June, and Chloe's best friend, James Van Der Beek.",Krysten Ritter,Dreama Walker,Michael Blaiklock,Eric André
The A-Team,(1983–1987),,"Action, Adventure, Crime",7.5,"Four Vietnam vets, framed for a crime they didn't commit, help the innocent while on the run from the military.",George Peppard,Mr. T,Dwight Schultz,Dirk Benedict
Happy Endings,(2011–2020),,"Comedy, Romance",7.7,"This Chicago-set sitcom follows the intertwined lives of six young urbanites trying to learn the ropes of adulthood. Through breakups and whatever other curve-balls life throws them, the pals stick together.",Eliza Coupe,Elisha Cuthbert,Zachary Knighton,Adam Pally
The Wonder Years,(1988–1993),,"Comedy, Drama, Family",8.3,Kevin Arnold recalls growing up during the late 60s and early 70s; the turbulent social times make the transition from child to adult unusually interesting.,Fred Savage,Dan Lauria,Daniel Stern,Alley Mills
Everybody Hates Chris,(2005–2009),,"Comedy, Drama, Music",7.4,A young African-American teen attempts to survive with his dysfunctional family and his all-white school in the 1980s.,Terry Crews,Tichina Arnold,Tequan Richmond,Imani Hakim
According to Jim,(2001–2009),,"Comedy, Romance",6.4,"A television show centered around a macho everyman, his loving wife, and their three precocious children.",Jim Belushi,Courtney Thorne-Smith,Larry Joe Campbell,Taylor Atelian
Scream: The TV Series,(2015–2019),18,"Crime, Drama, Horror",7.2,A serialized anthology series that follows a group of teenagers being targeted by a masked serial killer.,Willa Fitzgerald,Bex Taylor-Klaus,John Karna,Carlson Young
The Tomorrow People,(2013–2014),U,"Action, Drama, Sci-Fi",7.2,"Evolved humans with amazing abilities (Teleportation, Telekinesis, Telepathy) are being hunted down by agents of Ultra.",Robbie Amell,Peyton List,Luke Mitchell,Aaron Yoo
The Fairly OddParents,(2001–2017),,"Animation, Adventure, Comedy",7.2,"After being tortured and humiliated by his babysitter, a ten year old boy is put under the care of two fairy godparents, who can grant him almost any wish, which leads to dire consequences.",Tara Strong,Susanne Blakeslee,Daran Norris,Carlos Alazraqui
The Ranch,(2016–2020),18,"Comedy, Drama, Western",7.5,The son of a Colorado rancher returns home from a semi-pro football career to run the family business.,Ashton Kutcher,Sam Elliott,Grady Lee Richmond,Elisha Cuthbert
Happy Valley,(2014– ),,"Crime, Drama, Thriller",8.4,Yorkshire based crime drama centring on the personal and professional life of Police Sergeant Catherine Cawood.,Sarah Lancashire,Siobhan Finneran,Shane Zaza,Charlie Murphy
Impractical Jokers,(2011– ),13,"Comedy, Reality-TV",8.6,"Q, Sal, Joe and Murr are real-life best friends who love challenging each other to the most outrageous dares and stunts ever caught on hidden camera.",Brian Quinn,James Murray,Sal Vulcano,Joe Gatto
Goliath,(2016– ),18,Drama,8.2,"A disgraced lawyer, now an ambulance chaser, gets a case that could bring him redemption or at least revenge on the firm which expelled him.",Billy Bob Thornton,Tania Raymonde,Nina Arianda,Diana Hopper
Farscape,(1999–2003),,"Action, Adventure, Drama",8.2,"Thrown into a distant part of the universe, an Earth astronaut finds himself part of a fugitive alien starship crew.",Ben Browder,Claudia Black,Anthony Simcoe,Lani John Tupu
Legend of the Seeker,(2008–2010),,"Action, Adventure, Drama",7.6,"After the mysterious murder of his father, a son's search for answers begins a momentous fight against tyranny.",Craig Horner,Bridget Regan,Bruce Spence,Craig Parker
"Ed, Edd n Eddy",(1999–2008),,"Animation, Comedy, Family",7.4,"The off-the-wall, day-to-day life of three friends who have exactly the same name.",Matt Hill,Sam Vincent,Tony Sampson,Erin Fitzgerald
Happy!,(2017–2019),18,"Action, Comedy, Crime",8.2,An injured hitman befriends his kidnapped daughter's imaginary friend - a perky blue flying unicorn.,Christopher Meloni,Ritchie Coster,Lili Mirojnick,Patton Oswalt
Episodes,(2011–2017),,Comedy,7.8,"A couple of British TV producers move to Hollywood to export their most popular series, and find it is not what they expected.",Matt LeBlanc,Stephen Mangan,Tamsin Greig,John Pankow
iCarly,(2007–2012),,"Comedy, Family, Romance",6.6,"Carly hosts her own home-grown web show, iCarly, Carly and sidekick Sam's regular webcasts ultimately feature everything from comedy sketches and talent contests to interviews, recipes, and problem-solving.",Miranda Cosgrove,Jerry Trainor,Jennette McCurdy,Nathan Kress
The Flintstones,(1960–1966),,"Animation, Adventure, Comedy",7.5,"The misadventures of two modern-day Stone Age families, the Flintstones and the Rubbles.",Alan Reed,Mel Blanc,Jean Vander Pyl,Bea Benaderet
Johnny Bravo,(1997–2004),,"Animation, Adventure, Comedy",7.2,The misadventures of a dumb blond egomaniac who is deluded about his own manliness.,Jeff Bennett,Brenda Vaccaro,Mae Whitman,Tom Kenny
Final Space,(2018– ),,"Animation, Action, Adventure",8.3,An astronaut named Gary and his planet-destroying sidekick called Mooncake embark on serialized journeys through space in order to unlock the mystery of where the universe actually ends and if it actually does exist.,Fred Armisen,Tom Kenny,Olan Rogers,Tika Sumpter
Z Nation,(2014–2018),18,"Action, Comedy, Drama",6.7,"Three years after the zombie virus has gutted the United States of America a team of everyday heroes must transport the only known survivor of the plague from New York to California, where the last functioning viral lab waits for his blood.",Russell Hodgkinson,Nat Zang,Keith Allan,Kellita Smith
The Suite Life of Zack & Cody,(2005–2008),PG,"Comedy, Family",6.5,Comedy about identical twins living at the Tipton Hotel with their single mother who is a lounge singer at the hotel.,Cole Sprouse,Dylan Sprouse,Brenda Song,Ashley Tisdale
Red Dwarf,(1988– ),,"Adventure, Comedy, Sci-Fi",8.4,"The adventures of the last human alive and his friends, stranded three million years into deep space on the mining ship Red Dwarf.",Chris Barrie,Craig Charles,Danny John-Jules,Robert Llewellyn
Life,(I) (2007–2009),13,"Crime, Drama, Mystery",8.3,A former police officer returns to the force after having been wrongly imprisoned for years.,Damian Lewis,Sarah Shahi,Adam Arkin,Brent Sexton
Blue Bloods,(2010– ),,"Crime, Drama, Mystery",7.6,Revolves around a family of New York cops.,Donnie Wahlberg,Bridget Moynahan,Will Estes,Len Cariou
Top of the Lake,(2013–2017),,"Crime, Drama, Mystery",7.5,"Obsessed with the disappearance of a 12-year-old pregnant girl near a freezing lake in New Zealand, a brave detective will find herself up against small-town secrets and a side of herself that was meticulously kept at bay.",Elisabeth Moss,David Wenham,Peter Mullan,Thomas M. Wright
Batwoman,(2019– ),,"Action, Adventure, Crime",3.4,Batwoman seeks justice for Gotham City.,Camrus Johnson,Rachel Skarsten,Meagan Tandy,Nicole Kang
Saved by the Bell,(1989–1992),,"Comedy, Family, Romance",7,"A close-knit group of six friends get through their teens together while attending Bayside High School in Palisades, California.",Mark-Paul Gosselaar,Mario Lopez,Dustin Diamond,Lark Voorhies
The Filthy Frank Show,(2011–2017),,"Comedy, Fantasy, Music",9.5,Filthy Frank and his disease ridden friends talk about various topics and take part in multiple life-threatening shenanigans.,Joji,Artemis Holdenberry,Zeeq,Bloody Hairy
Safe,-2018,18,"Crime, Drama, Mystery",7.3,"After his teenage daughter goes missing, a widowed surgeon begins uncovering dark secrets of the people closest to him.",Michael C. Hall,Amy James-Kelly,Amanda Abbington,Freddie Thorp
Yellowstone,(2018– ),,"Drama, Western",8.6,A ranching family in Montana faces off against others encroaching on their land.,Kevin Costner,Luke Grimes,Kelly Reilly,Wes Bentley
Good Girls,(2018– ),16,"Comedy, Crime, Drama",7.8,Three suburban mothers suddenly find themselves in desperate circumstances and decide to stop playing it safe and risk everything to take their power back.,Christina Hendricks,Retta,Mae Whitman,Reno Wilson
Rugrats,(1990–2006),,"Animation, Adventure, Comedy",7.4,The cartoon misadventures of four babies and their snotty older cousin as they face the things in life they don't understand.,Elizabeth Daily,Christine Cavanaugh,Nancy Cartwright,Kath Soucie
Law & Order,(1990–2010),,"Crime, Drama, Mystery",7.7,"Follows a crime (usually a murder), usually adapted from current headlines, from two separate vantage points, the police investigation and the prosecution in court.",Jerry Orbach,Jesse L. Martin,Dennis Farina,S. Epatha Merkerson
Young Justice,(2010– ),,"Animation, Action, Adventure",8.6,Teenage superheroes strive to prove themselves as members of the Justice League.,Jesse McCartney,Danica McKellar,Nolan North,Khary Payton
The Golden Girls,(1985–1992),,"Comedy, Drama",7.9,"Four previously married women live together in Miami, sharing their various experiences together and enjoying themselves despite hard times.",Bea Arthur,Betty White,Rue McClanahan,Estelle Getty
Rules of Engagement,(2007–2013),,"Comedy, Romance",7.3,"Two couples and their single friend, all at different stages in their relationships, deal with the complications of dating, commitment, and marriage.",Patrick Warburton,Megyn Price,Oliver Hudson,Bianca Kajlich
ALF,(1986–1990),,"Comedy, Family, Sci-Fi",7.4,A furry alien wiseguy comes to live with the Tanner family after crashing into their garage.,Mihaly 'Michu' Meszaros,Paul Fusco,Max Wright,Anne Schedeen
The Protector,(2018–2020),18,"Action, Fantasy, Sci-Fi",6.7,"Discovering his ties to a secret ancient order, a young man living in modern Istanbul embarks on a quest to save the city from an immortal enemy.",Çagatay Ulusoy,Hazar Ergüçlü,Okan Yalabik,Burçin Terzioglu
Shooter,(2016–2018),16,"Action, Drama",7.5,"A conspiracy thriller that follows the journey of Bob Lee Swagger, a highly-decorated veteran who is coaxed back into action to prevent a plot to kill the President.",Ryan Phillippe,Shantel VanSanten,Cynthia Addai-Robinson,Omar Epps
Bored to Death,(2009–2011),,"Comedy, Crime, Drama",7.9,A well-meaning but struggling writer decides to lead a sort of double life by pretending to be a private detective using the methods he read about in old detective novels.,Jason Schwartzman,Zach Galifianakis,Ted Danson,Heather Burns
The Goldbergs,(2013– ),,Comedy,8.1,"This ABC show takes place in Jenkintown, Pennsylvania in the 1980s and follows the lives of a family named The Goldbergs.",Wendi McLendon-Covey,Sean Giambrone,Troy Gentile,Hayley Orrantia
The Cosby Show,(1984–1992),,"Comedy, Family, Romance",7.3,The goings-on in the life of a successful African-American family.,Bill Cosby,Phylicia Rashad,Keshia Knight Pulliam,Malcolm-Jamal Warner
The Family Man,(2019– ),16,"Action, Comedy, Drama",8.5,"A working man from the National Investigation Agency tries to protect the nation from terrorism, but he also needs to keep his family safe from his secret job.",Manoj Bajpayee,Samantha Ruth Prabhu,Priyamani,Sharib Hashmi
"Beverly Hills, 90210",(1990–2000),,"Drama, Romance",6.4,"A group of friends living in Beverly Hills, California make their way through life from their school days into adulthood.",Jason Priestley,Shannen Doherty,Luke Perry,Jennie Garth
A Discovery of Witches,(2018– ),15,"Drama, Fantasy, Romance",8,"Diana Bishop, historian and witch, accesses Ashmole 782 and knows she must solve its mysteries. She is offered help by the enigmatic Matthew Clairmont, but he's a vampire and witches should never trust vampires.",Matthew Goode,Teresa Palmer,Valarie Pettiford,Alex Kingston
The Bugs Bunny Show,(1960–1975),,"Animation, Comedy",8.6,TV series featuring the classic Looney Tunes animated shorts.,Mel Blanc,June Foray,Jim Backus,Bea Benaderet
Star Wars: Rebels,(2014–2018),,"Animation, Action, Adventure",8,A brave and clever ragtag starship crew stands up against the evil Empire as it tightens its grip on the galaxy and hunts down the last of the Jedi Knights.,Taylor Gray,Dave Filoni,Vanessa Marshall,Freddie Prinze Jr.
The Gifted,(2017–2019),12,"Action, Drama, Fantasy",7.3,"In a world where mutated humans are treated with distrust and fear, an institute for mutants battles to achieve peaceful co-existence with humanity.",Stephen Moyer,Amy Acker,Sean Teale,Natalie Alyn Lind
Hunters,(2020– ),18,"Crime, Drama, Mystery",7.2,"In 1977, in New York City, a troubled young Jewish man bent on revenge is taken in by a secret group of Nazi hunters fighting a clandestine war against the cabal of high-ranking Nazi officials in hiding who work to create the Fourth Reich.",Al Pacino,Logan Lerman,Lena Olin,Jerrika Hinton
The Rain,(2018–2020),18,"Drama, Sci-Fi, Thriller",6.3,"After a brutal virus wipes out most of the population, two young siblings embark on a perilous search for safety.",Alba August,Lucas Lynggaard Tønnesen,Mikkel Boe Følsgaard,Lukas Løkken
Parenthood,(2010–2015),,"Comedy, Drama",8.2,The lives and tragedies of the Braverman family tree.,Peter Krause,Lauren Graham,Dax Shepard,Monica Potter
Dark Angel,(2000–2002),,"Action, Drama, Mystery",7.4,"A group of genetically-enhanced children escape from a lab project. Years later we meet Max, one of the escapees who now works for a messenger service in the post-apocalyptic Pacific Northwest.",Jessica Alba,Michael Weatherly,Richard Gunn,J.C. MacKenzie
Teenage Mutant Ninja Turtles,(1987–1996),,"Animation, Action, Adventure",7.9,The adventures of a quartet of humanoid warrior turtles and their friends.,Cam Clarke,Barry Gordon,Rob Paulsen,Townsend Coleman
Hey Arnold!,(1996–2004),,"Animation, Comedy, Drama",7.6,"The everyday life of Arnold, a fourth-grader in a nameless city that resembles Brooklyn, New York, who lives in a multi-racial boarding house with his grandparents and a motley assortment of friends and neighbors.",Francesca Marie Smith,Jamil Walker Smith,Dan Castellaneta,Justin Shenkarow
Ally McBeal,(1997–2002),,"Comedy, Drama, Fantasy",6.8,Follows the personal and professional life of lawyer Ally.,Calista Flockhart,Greg Germann,Jane Krakowski,Vonda Shepard
Suburgatory,(2011–2014),,Comedy,7.2,"Tessa Altman is used to the big city but when her dad moves her away, she has to adapt to her new suburban life in Chatswin.",Jeremy Sisto,Jane Levy,Carly Chaikin,Allie Grant
Colony,(2016–2018),16,"Action, Adventure, Drama",7.4,"In the wake of a mysterious alien invasion, a family fights to stay together in a new world order.",Josh Holloway,Sarah Wayne Callies,Peter Jacobson,Tory Kittles
Sneaky Pete,(2015–2019),18,Crime,8.1,"A con man on the run from a vicious gangster takes cover by assuming the identity of his prison cellmate, Pete, reuniting with his estranged family, that threatens to drag him into a world just as dangerous as the one he's escaping.",Giovanni Ribisi,Marin Ireland,Shane McRae,Libe Barer
Knight Rider,(1982–1986),,"Action, Crime, Drama",6.9,A lone crimefighter battles the forces of evil with the help of a virtually indestructible and artificially intelligent supercar.,David Hasselhoff,Edward Mulhare,Richard Basehart,Patricia McPherson
"Scooby Doo, Where Are You!",(1969–1970),,"Animation, Adventure, Comedy",7.9,"A group of teenage friends and their Great Dane (Scooby-Doo) travel in a bright green van solving strange and hilarious mysteries, while returning from or going to a regular teenage function.",Don Messick,Casey Kasem,Nicole Jaffe,Vic Perrin
An Idiot Abroad,(2010–2012),,"Documentary, Adventure, Comedy",8.3,"Brit Karl Pilkington has led a sheltered life. Not having done any traveling, he enjoys living within the comforts of what he knows, basically that being what is purely British. As such, ...                See full summary »",Karl Pilkington,Ricky Gervais,Stephen Merchant,Luke Campbell
Kingdom,(2019– ),18,"Action, Drama, Horror",8.4,"While strange rumors about their ill King grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land.",Ju Ji-Hoon,Bae Doona,Kim Sungkyu,Hye-jun Kim
Regular Show,(2009–2017),,"Animation, Short, Action",8.4,The daily surreal adventures of a blue jay and raccoon duo that attempt to deal with their mundane jobs as groundskeepers at the local park.,J.G. Quintel,William Salyers,Sam Marin,Mark Hamill
Anger Management,(2012–2014),18,"Comedy, Romance",6.6,"Ex baseball player Charlie is an anger management therapist with small group sessions at home. He has an OCD teen daughter, an ex-wife and a sex buddy/therapist.",Charlie Sheen,Shawnee Smith,Noureen DeWulf,Michael Arden
Rizzoli & Isles,(2010–2016),16,"Crime, Drama, Mystery",7.6,Detective Jane Rizzoli and Chief Medical Examiner Dr. Maura Isles team up to solve crimes in Boston.,Angie Harmon,Sasha Alexander,Jordan Bridges,Bruce McGill
Gomorra: La serie,(2014– ),,"Crime, Drama, Thriller",8.7,Ciro disregards tradition in his attempt to become the next boss of his crime syndicate. The internal power struggle puts him and his entire family's life at risk.,Salvatore Esposito,Marco D'Amore,Cristiana Dell'Anna,Fortunato Cerlino
Wizards of Waverly Place,(2007–2012),All,"Adventure, Comedy, Drama",6.9,"The Russo family may be an ordinary family with an average restaurant, but behind close doors, all three children must compete to be the next family wizard.",Selena Gomez,David Henrie,Jake T. Austin,Jennifer Stone
QI,(2003– ),,"Comedy, Game-Show",8.6,"A comedy panel game in which being Quite Interesting is more important than being right. Sandi Toksvig is joined each week by four comedians to share anecdotes and trivia, and maybe answer some questions as well.",Alan Davies,Stephen Fry,Sandi Toksvig,Phill Jupitus
Last Man Standing,(2011–2021),12,Comedy,7.6,A married father of three tries to maintain his manliness in a world increasingly dominated by women.,Tim Allen,Nancy Travis,Hector Elizondo,Christoph Sanders
F Is for Family,(2015– ),18,"Animation, Comedy, Drama",8,"Follow the Murphy family back to the 1970s, when kids roamed wild, beer flowed freely and nothing came between a man and his TV.",Bill Burr,Laura Dern,Justin Long,Debi Derryberry
DuckTales,(1987–1990),,"Animation, Adventure, Comedy",8.1,The globe-trotting treasure-hunting money-making adventures of billionaire Scrooge McDuck and his nephews.,Alan Young,Russi Taylor,Terence McGovern,Chuck McCann
Strike Back,(2010–2020),,"Action, Drama, Thriller",8.2,"Follows the actions of Section 20, a secretive unit of British military intelligence. A team of special operations personnel conduct several high risk missions across the globe.",Philip Winchester,Sullivan Stapleton,Michelle Lukes,Daniel MacPherson
Longmire,(2012–2017),,"Action, Crime, Drama",8.3,"Walt Longmire is the dedicated and unflappable sheriff of Absaroka County, Wyoming. Widowed only a year, he is a man in psychic repair but buries his pain behind his brave face, unassuming grin and dry wit.",Robert Taylor,Katee Sackhoff,Lou Diamond Phillips,Cassidy Freeman
Lovecraft Country,(2020– ),18,"Drama, Fantasy, Horror",7.1,A young African-American travels across the U.S. in the 1950s in search of his missing father.,Jonathan Majors,Jurnee Smollett,Courtney B. Vance,Michael Kenneth Williams
Kenpû Denki Berserk,(1997–1998),,"Animation, Action, Adventure",8.7,"Guts is a skilled swordsman who joins forces with a mercenary group named 'The Band of the Hawk', lead by the charismatic Griffith, and fights with them as they battle their way into the royal court.",Nobutoshi Canna,Marc Diraison,Carrie Keranen,Kevin T. Collins
Life on Mars,(2006–2007),,"Crime, Drama, Mystery",8.3,"After being involved in a car accident in 2006, DCI Sam Tyler wakes up to find himself in 1973, the era of 'Sweeney' type policing, Mark III Cortinas, and flared trousers.",John Simm,Philip Glenister,Liz White,Dean Andrews
Lost Girl,(2010–2016),,"Action, Drama, Fantasy",7.7,Bo is a supernatural being who challenges her clan's way of life.,Anna Silk,Kris Holden-Ried,Zoie Palmer,Rick Howland
The Mindy Project,(2012–2017),16,Comedy,7.4,"A young Ob/Gyn doctor balances her personal and professional life, surrounded by quirky co-workers in a small office.",Mindy Kaling,Ike Barinholtz,Ed Weeks,Chris Messina
Halt and Catch Fire,(2014–2017),,Drama,8.4,Follows some players in the 80s technological revolution that lead to information society.,Lee Pace,Scoot McNairy,Mackenzie Davis,Kerry Bishé
Mom,(2013–2021),16,"Comedy, Drama, Romance",7.2,A newly sober single mom tries to pull her life together in Napa Valley while dealing with her wayward mother.,Allison Janney,Anna Faris,Mimi Kennedy,Beth Hall
Dharma & Greg,(1997–2002),,"Comedy, Romance",6.3,"A free-spirited yoga instructor finds true love in a conservative lawyer and they get married on the first date. Though they are polar opposites, he fulfills her need of stability and she fulfills his need of optimism.",Jenna Elfman,Thomas Gibson,Joel Murray,Mimi Kennedy
Chicago P.D.,(2014– ),,"Action, Crime, Drama",8.1,"Follows District 21 of the Chicago Police Department, which is made up of two distinctly different groups: the uniformed cops and the Intelligence Unit.",Jason Beghe,Jesse Lee Soffer,Patrick John Flueger,Marina Squerciati
Demon Slayer: Kimetsu No Yaiba,(2019– ),16,"Animation, Action, Fantasy",8.7,"A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his family and cure his sister.",Natsuki Hanae,Zach Aguilar,Abby Trott,Aleks Le
Derek,(2012–2014),,"Comedy, Drama",8,Derek is a loyal nursing home care assistant who sees only the good in his quirky co-workers as they struggle against prejudice and shrinking budgets to care for their elderly residents.,Ricky Gervais,Kerry Godliman,David Earl,Tim Barlow
