Series_Title,Runtime_of_Series,Certificate,Genre,IMDB_Rating,Overview,Star1,Star2,Star3,Star4
The Hot Zone,-2019,,"Drama, Sci-Fi, Thriller",7.3,The frightening spread of the EVD (Ebolavirus).,Julianna Margulies,Noah Emmerich,Topher Grace,Liam Cunningham
The Increasingly Poor Decisions of Todd Margaret,(2009–2016),,Comedy,7.6,"Todd Margaret is an American who takes a job running the London sales team for an energy drink. He has no experience with British culture, knows nothing about sales and has only one employee, Dave.",Sharon Horgan,Will Arnett,David Cross,Blake Harrison
The Letter for the King,(2020– ),13,"Action, Adventure, Family",5.9,"Tiuri, a teenage squire, answers a call for help that sends him on a perilous mission across the three kingdoms to deliver a secret letter to the King.",Amir Wilson,Ruby Ashbourne Serkis,Thaddea Graham,Islam Bouakkaz
Face Off,(2011–2018),,"Game-Show, Reality-TV",8.2,Special effects make up artists compete in challenges.,McKenzie Westmore,Glenn Hetrick,Ve Neill,Michael Westmore
Popular,(1999–2001),,"Comedy, Drama, Romance",7.3,"Two girls who despise each other, due to being on opposite sides of the ""popularity fence"", are forced together upon learning that their parents are getting married.",Leslie Bibb,Carly Pope,Tamara Mello,Christopher Gorham
"Knowing Me, Knowing You with Alan Partridge",(1994–1995),,Comedy,8.2,Alan Partridge hosts his own chat show on the BBC. He insults and belittles almost all of his guests and is humiliated by the rest.,Steve Coogan,Rebecca Front,Patrick Marber,Steve Brown
Hunter x Hunter,(1999–2001),13,"Animation, Action, Adventure",8.6,"The history of Gon Freecs, a boy who left home alone to become a Hunter. In the hard test, Gon meets Leorio, Kurapika and Killua.",Hozumi Gôda,Yuki Kaida,Junko Takeuchi,Annika Odegard
Äkta människor,(2012–2014),,"Drama, Sci-Fi, Thriller",7.9,In a parallel present the artificial human has come into its own. Robots no longer have anything robot-like about them. New technology and advancements in the field of science have made it ...                See full summary »,Lisette Pagler,Pia Halvorsen,Johan Paulsen,Natalie Minnevik
Borgia,(2011–2014),,"Biography, Drama, History",7.8,Story of the rise and the fall of the Renaissance dynasty.,Mark Ryder,Isolda Dychauk,Diarmuid Noyes,John Doman
The Detour,(2016–2019),,"Adventure, Comedy",7.8,"A contemporary father takes his family on a road trip across America, but a set of crazy, unforeseen circumstances causes them to end up on the run from the FBI.",Jason Jones,Natalie Zea,Ashley Gerasimovich,Liam Carroll
PEN 15.00,(2019– ),,Comedy,8,The comedic story of middle school seen through the eyes of two 7th grade girls dealing with the awkwardness of being a teenager.,Maya Erskine,Anna Konkle,Melora Walters,Dylan Gage
Grandfathered,(2015–2016),,Comedy,6.9,A confirmed bachelor discovers he's a dad--and a grandfather.,John Stamos,Paget Brewster,Josh Peck,Christina Milian
Der Tatortreiniger,(2011–2018),,"Comedy, Crime",8.5,"The bizarre everyday adventures of Heiko ""Schotty"" Schotte, whose profession is to clean up crime scenes.",Bjarne Mädel,Peer Martiny,Jörg Pose,Jule Böwe
Corner Gas,(2004–2009),,Comedy,8,"The life, or lack thereof, of a proprietor of a gas station, which is the only stop for miles around and a hub of action on the Prairies.",Brent Butt,Gabrielle Miller,Fred Ewanuick,Eric Peterson
A.N.T. Farm,(2011–2014),,"Comedy, Drama, Family",5,A musical prodigy gets into a gifted program called Advanced Natural Talents at the local high school.,China Anne McClain,Sierra McCormick,Jake Short,Stefanie Scott
Kimbiseoga wae geureolkka,-2018,16,"Comedy, Mystery, Romance",8.1,A romance between perfect but narcissistic second generation heir and his capable assistant.,Park Min-Young,Park Seo-Joon,Lee Tae-Hwan,Kim Byeong-Ok
LazyTown,(2002–2014),,"Adventure, Comedy, Family",5.9,"In this Nick Jr. television show, a pink-haired girl named Stephanie moves to LazyTown with her uncle (the mayor of LazyTown), where she tries to teach its extremely lazy residents that physical activity is beneficial.",Magnús Scheving,Stefán Karl Stefánsson,Julianna Rose Mauriello,Julie Westwood
